args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
10 50 10000 100000,1,0.19,0.15,0.03,1888
10 50 10000 100000,2,0.19,0.17,0.02,1888
10 50 10000 100000,3,0.19,0.15,0.03,1752
10 50 10000 100000,4,0.2,0.16,0.03,1904
100 50 10000 100000,1,1.99,1.63,0.31,1760
100 50 10000 100000,2,2.06,1.63,0.33,1772
100 50 10000 100000,3,1.97,1.62,0.32,1760
100 50 10000 100000,4,2.0,1.62,0.32,1828
100 50 100000 1000000,1,17.21,15.98,0.99,3368
100 50 100000 1000000,2,17.48,16.05,1.21,3320
100 50 100000 1000000,3,17.38,15.93,1.19,3316
100 50 100000 1000000,4,17.47,15.9,1.16,3256
1000 100 1000 1000,1,4.31,0.73,3.44,1572
1000 100 1000 1000,2,4.11,0.74,3.13,1500
1000 100 1000 1000,3,3.76,0.68,3.05,1488
1000 100 1000 1000,4,4.23,0.68,3.19,1756
