n,cache,wall_clock_s,max_rss_kb
1,False,0.0,3728
1,True,0.0,3752
2,False,0.0,3728
2,True,0.0,3736
3,False,0.0,3728
3,True,0.0,3752
4,False,0.0,3728
4,True,0.0,3856
5,False,0.0,3868
5,True,0.0,3752
6,False,0.0,3728
6,True,0.0,3752
7,False,0.0,3728
7,True,0.0,3752
8,False,0.0,3868
8,True,0.0,3752
9,False,0.0,3728
9,True,0.0,3840
10,False,0.0,3736
10,True,0.0,3752
11,False,0.05,3736
11,True,0.0,3752
12,False,0.21,3756
12,True,0.0,3752
13,False,0.78,3728
13,True,0.0,3752
14,False,4.36,3780
14,True,0.0,3848
15,False,22.52,3628
15,True,0.0,3892
1,False,0.0,3728
1,True,0.0,3752
2,False,0.0,3736
2,True,0.0,3752
3,False,0.0,3728
3,True,0.0,3752
4,False,0.0,3728
4,True,0.0,3840
5,False,0.0,3728
5,True,0.0,3828
6,False,0.0,3728
6,True,0.0,3856
7,False,0.0,3728
7,True,0.0,3712
8,False,0.0,3728
8,True,0.0,3752
9,False,0.0,3728
9,True,0.0,3752
10,False,0.0,3728
10,True,0.0,3752
11,False,0.06,3728
11,True,0.0,3876
12,False,0.19,3728
12,True,0.0,3744
13,False,0.8,3628
13,True,0.0,3964
14,False,4.36,3720
14,True,0.0,3828
15,False,22.73,3628
15,True,0.0,3752
1,False,0.0,3728
1,True,0.0,3856
2,False,0.0,3728
2,True,0.0,3752
3,False,0.0,3728
3,True,0.0,3752
4,False,0.0,3728
4,True,0.0,3720
5,False,0.0,3728
5,True,0.0,3752
6,False,0.0,3736
6,True,0.0,3752
7,False,0.0,3872
7,True,0.0,3872
8,False,0.0,3728
8,True,0.0,3752
9,False,0.0,3868
9,True,0.0,3712
10,False,0.0,3728
10,True,0.0,3752
11,False,0.06,3728
11,True,0.0,3752
12,False,0.21,3736
12,True,0.0,3760
13,False,0.87,3728
13,True,0.0,3828
14,False,4.6,3628
14,True,0.0,3856
15,False,22.76,3760
15,True,0.0,3752
