Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 71.74      9.09     9.09        1     9.09    11.37  luaV_execute
  9.55     10.30     1.21 310000031     0.00     0.00  luaD_pretailcall
  4.97     10.93     0.63 306946269     0.00     0.00  luaD_precall
  3.79     11.41     0.48 306946269     0.00     0.00  prepCallInfo
  3.24     11.82     0.41 271946590     0.00     0.00  luaH_Hgetshortstr
  1.58     12.02     0.20 271946339     0.00     0.00  finishnodeget
  0.79     12.12     0.10                             _init
  0.55     12.19     0.07 35000103     0.00     0.00  luaT_getvarargs
  0.55     12.26     0.07 25000004     0.00     0.00  forprep
  0.47     12.32     0.06 271946169     0.00     0.00  luaH_getshortstr
  0.32     12.36     0.04 10000006     0.00     0.00  luaF_newLclosure
  0.32     12.40     0.04 10000002     0.00     0.00  luaF_closeupval
  0.24     12.43     0.03 40000903     0.00     0.00  luaL_alloc
  0.24     12.46     0.03 25000004     0.00     0.00  forlimit
  0.24     12.49     0.03 20000290     0.00     0.00  luaC_newobjdt
  0.24     12.52     0.03 10000001     0.00     0.00  luaF_unlinkupval
  0.16     12.54     0.02 25000004     0.00     0.00  luaV_tointeger
  0.16     12.56     0.02 20000417     0.00     0.00  luaM_free_
  0.16     12.58     0.02 20000290     0.00     0.00  freeobj
  0.16     12.60     0.02 10000001     0.00     0.00  luaF_findupval
  0.08     12.61     0.01 35000009     0.00     0.00  pushclosure
  0.08     12.62     0.01 25000004     0.00     0.00  luaV_tointegerns
  0.08     12.63     0.01 20000370     0.00     0.00  luaM_malloc_
  0.08     12.64     0.01 20000290     0.00     0.00  luaC_newobj
  0.08     12.65     0.01  1388895     0.00     0.00  sweepgen
  0.08     12.66     0.01   277792     0.00     0.00  traverseLclosure
  0.08     12.67     0.01   277780     0.00     0.00  luaS_clearcache
  0.00     12.67     0.00 35000107     0.00     0.00  getnumargs
  0.00     12.67     0.00 10000002     0.00     0.00  freeupval
  0.00     12.67     0.00 10000001     0.00     0.00  newupval
  0.00     12.67     0.00  1111244     0.00     0.00  getgclist
  0.00     12.67     0.00  1111120     0.00     0.00  clearbyvalues
  0.00     12.67     0.00  1111120     0.00     0.00  correctgraylist
  0.00     12.67     0.00  1111120     0.00     0.00  propagateall
  0.00     12.67     0.00   555883     0.00     0.00  objsize
  0.00     12.67     0.00   555849     0.00     0.00  reallymarkobject
  0.00     12.67     0.00   555622     0.00     0.00  linkgclist_
  0.00     12.67     0.00   555621     0.00     0.00  propagatemark
  0.00     12.67     0.00   555560     0.00     0.00  clearbykeys
  0.00     12.67     0.00   555560     0.00     0.00  convergeephemerons
  0.00     12.67     0.00   555560     0.00     0.00  luaO_applyparam
  0.00     12.67     0.00   555560     0.00     0.00  markold
  0.00     12.67     0.00   277783     0.00     0.00  luaE_setdebt
  0.00     12.67     0.00   277781     0.00     0.00  callallpendingfinalizers
  0.00     12.67     0.00   277781     0.00     0.00  findlast
  0.00     12.67     0.00   277781     0.00     0.00  markbeingfnz
  0.00     12.67     0.00   277781     0.00     0.00  markmt
  0.00     12.67     0.00   277781     0.00     0.00  separatetobefnz
  0.00     12.67     0.00   277780     0.00     0.00  atomic
  0.00     12.67     0.00   277780     0.00     0.00  checkSizes
  0.00     12.67     0.00   277780     0.00     0.00  correctgraylists
  0.00     12.67     0.00   277780     0.00     0.00  finishgencycle
  0.00     12.67     0.00   277780     0.00     0.00  luaC_step
  0.00     12.67     0.00   277780     0.00     0.00  luaD_checkminstack
  0.00     12.67     0.00   277780     0.00     0.00  luaD_shrinkstack
  0.00     12.67     0.00   277780     0.00     0.00  luaE_shrinkCI
  0.00     12.67     0.00   277780     0.00     0.00  remarkupvals
  0.00     12.67     0.00   277780     0.00     0.00  setminordebt
  0.00     12.67     0.00   277780     0.00     0.00  stackinuse
  0.00     12.67     0.00   277780     0.00     0.00  traversethread
  0.00     12.67     0.00   277779     0.00     0.00  checkminormajor
  0.00     12.67     0.00   277779     0.00     0.00  youngcollection
  0.00     12.67     0.00     1086     0.00     0.00  freehash
  0.00     12.67     0.00      676     0.00     0.00  save
  0.00     12.67     0.00      444     0.00     0.00  insertkey
  0.00     12.67     0.00      370     0.00     0.00  index2value
  0.00     12.67     0.00      359     0.00     0.00  luaS_newlstr
  0.00     12.67     0.00      356     0.00     0.00  luaS_hash
  0.00     12.67     0.00      353     0.00     0.00  internshrstr
  0.00     12.67     0.00      353     0.00     0.00  luaM_growaux_
  0.00     12.67     0.00      324     0.00     0.00  checkrepeated
  0.00     12.67     0.00      319     0.00     0.00  luaS_new
  0.00     12.67     0.00      253     0.00     0.00  luaH_psetshortstr
  0.00     12.67     0.00      239     0.00     0.00  createstrobj
  0.00     12.67     0.00      239     0.00     0.00  getfreepos
  0.00     12.67     0.00      234     0.00     0.00  llex
  0.00     12.67     0.00      234     0.00     0.00  luaX_next
  0.00     12.67     0.00      231     0.00     0.00  luaS_remove
  0.00     12.67     0.00      207     0.00     0.00  auxsetstr
  0.00     12.67     0.00      207     0.00     0.00  luaH_psetstr
  0.00     12.67     0.00      196     0.00     0.00  lua_setfield
  0.00     12.67     0.00      191     0.00     0.00  luaK_dischargevars
  0.00     12.67     0.00      171     0.00     0.00  init_exp
  0.00     12.67     0.00      162     0.00     0.00  savelineinfo
  0.00     12.67     0.00      161     0.00     0.00  lua_pushcclosure
  0.00     12.67     0.00      128     0.00     0.00  luaK_code
  0.00     12.67     0.00      126     0.00     0.00  clearkey
  0.00     12.67     0.00      125     0.00     0.00  Hgetstr
  0.00     12.67     0.00      125     0.00     0.00  luaH_getstr
  0.00     12.67     0.00      125     0.00     0.00  testnext
  0.00     12.67     0.00      114     0.00     0.00  luaM_realloc_
  0.00     12.67     0.00      114     0.00     0.00  reglevel
  0.00     12.67     0.00      108     0.00     0.00  luaM_saferealloc_
  0.00     12.67     0.00      103     0.00     0.00  check
  0.00     12.67     0.00      100     0.00     0.00  luaY_nvarstack
  0.00     12.67     0.00       98     0.00     0.00  luaK_codeABCk
  0.00     12.67     0.00       97     0.00     0.00  searchvar
  0.00     12.67     0.00       96     0.00     0.00  luaE_incCstack
  0.00     12.67     0.00       90     0.00     0.00  singlevaraux
  0.00     12.67     0.00       87     0.00     0.00  anchorstr
  0.00     12.67     0.00       86     0.00     0.00  newcheckedkey
  0.00     12.67     0.00       84     0.00     0.00  luaK_checkstack
  0.00     12.67     0.00       83     0.00     0.00  lua_settop
  0.00     12.67     0.00       79     0.00     0.00  str_checkname
  0.00     12.67     0.00       77     0.00     0.00  luaK_reserveregs
  0.00     12.67     0.00       76     0.00     0.00  freeexp
  0.00     12.67     0.00       75     0.00     0.00  luaY_checklimit
  0.00     12.67     0.00       73     0.00     0.00  resizearray
  0.00     12.67     0.00       73     0.00     0.00  setnodevector
