defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,10 1000 1 10,0,18.02,0.04,0.48,1472
default,10 1000 1 10,1,97.47,0.07,0.96,1424
default,10 1000 1 10,2,85.15,0.05,0.95,1512
default,10 1000 1 10,3,78.26,0.08,0.89,1484
default,10 1000 1 10,4,87.25,0.08,0.95,1472
default,10 1000 1 10,5,80.31,0.08,0.91,1432
default,10 1000 1 10,6,87.24,0.08,0.94,1512
default,10 1000 1 10,7,82.73,0.07,0.91,1512
default,10 1000 1 10,8,87.75,0.07,0.91,1444
default,10 1000 1 10,9,86.77,0.08,0.9,1408
default,10 1000 1 10,10,80.41,0.08,0.87,1432
default,10 1000 1 10,11,83.6,0.07,0.93,1424
default,10 1000 1 10,12,79.75,0.08,0.86,1420
default,10 1000 1 10,13,86.57,0.07,0.92,1552
default,10 1000 1 10,14,78.45,0.07,0.87,1480
