defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,,0,0.52,0.1,0.4,1540
default,,1,0.51,0.12,0.38,1488
default,,2,0.5,0.13,0.37,1500
default,,3,0.51,0.09,0.41,1480
default,,4,0.52,0.11,0.41,1484
default,,5,0.49,0.12,0.37,1512
default,,6,0.51,0.1,0.4,1488
default,,7,0.49,0.08,0.4,1560
default,,8,0.5,0.1,0.39,1556
default,,9,0.5,0.09,0.41,1496
default,,10,0.49,0.1,0.38,1500
default,,11,0.5,0.09,0.4,1652
default,,12,0.51,0.1,0.41,1596
default,,13,0.51,0.09,0.41,1484
default,,14,0.5,0.1,0.39,1492
