defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,2000 200 10 1000,0,14.21,1.67,12.05,1564
default,2000 200 10 1000,1,15.6,1.66,12.76,1436
default,2000 200 10 1000,2,15.41,1.69,12.62,1436
default,2000 200 10 1000,3,15.39,1.7,12.65,1752
default,2000 200 10 1000,4,16.29,1.85,13.08,1504
default,2000 200 10 1000,5,14.86,1.82,12.59,1564
default,2000 200 10 1000,6,15.46,1.8,12.78,1644
default,2000 200 10 1000,7,14.23,1.93,11.87,1564
default,2000 200 10 1000,8,15.36,1.94,13.0,1756
default,2000 200 10 1000,9,14.25,1.71,11.93,1828
