defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,,0,0.86,0.06,0.79,1768
default,,1,0.88,0.05,0.79,1632
default,,2,0.86,0.06,0.78,1664
default,,3,0.83,0.06,0.75,1696
default,,4,0.84,0.05,0.77,1616
default,,5,0.93,0.08,0.84,1716
default,,6,0.86,0.05,0.79,1636
default,,7,0.87,0.06,0.79,1664
default,,8,0.84,0.05,0.77,1664
default,,9,0.85,0.05,0.79,1668
default,,10,0.87,0.07,0.78,1616
default,,11,0.84,0.04,0.79,1704
default,,12,0.85,0.07,0.76,1716
default,,13,0.95,0.05,0.88,1664
default,,14,0.82,0.06,0.74,1588
