defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,2000 200 10 1000,0,12.94,2.01,10.69,1564
default,2000 200 10 1000,1,19.27,2.11,14.74,1632
default,2000 200 10 1000,2,16.14,1.94,13.38,1616
default,2000 200 10 1000,3,15.72,1.96,13.18,1572
default,2000 200 10 1000,4,15.64,2.03,13.0,1828
default,2000 200 10 1000,5,15.45,1.98,13.02,1560
default,2000 200 10 1000,6,15.09,1.87,12.79,1776
default,2000 200 10 1000,7,15.19,1.86,12.67,1748
default,2000 200 10 1000,8,15.14,1.88,12.74,1740
default,2000 200 10 1000,9,15.27,1.84,12.87,1440
default,2000 200 10 1000,10,15.23,1.94,12.73,1632
default,2000 200 10 1000,11,15.93,1.94,13.38,1504
default,2000 200 10 1000,12,15.49,2.01,13.05,1700
default,2000 200 10 1000,13,15.4,1.87,12.91,1620
default,2000 200 10 1000,14,15.35,1.96,12.95,1700
