defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,,0,0.74,0.04,0.68,1616
default,,1,0.75,0.04,0.7,1484
default,,2,0.7,0.06,0.64,1616
default,,3,0.75,0.04,0.69,1572
default,,4,0.69,0.04,0.64,1636
default,,5,0.67,0.03,0.63,1616
default,,6,0.67,0.05,0.61,1616
default,,7,0.68,0.05,0.62,1704
default,,8,0.69,0.04,0.63,1632
default,,9,0.68,0.06,0.61,1716
default,,10,0.67,0.05,0.61,1616
default,,11,0.69,0.04,0.64,1544
default,,12,0.67,0.04,0.62,1616
default,,13,0.68,0.04,0.63,1640
default,,14,0.68,0.04,0.63,1616
