defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,17,0,50.47,50.19,0.01,27232
default,17,1,50.31,50.07,0.01,27300
default,17,2,50.31,50.07,0.0,27264
default,17,3,50.31,50.07,0.01,27300
default,17,4,50.39,50.13,0.01,27292
default,17,5,50.68,50.44,0.0,27288
default,17,6,50.45,50.21,0.01,27296
default,17,7,50.52,50.27,0.0,27300
default,17,8,50.58,50.32,0.01,27256
default,17,9,50.38,50.12,0.01,27288
default,17,10,50.59,50.34,0.01,27288
default,17,11,50.7,50.43,0.01,27308
default,17,12,50.54,50.29,0.01,27304
default,17,13,50.57,50.32,0.0,27228
default,17,14,49.03,48.8,0.0,27264
default,17,15,50.58,50.32,0.01,27284
default,17,16,50.36,50.11,0.01,27192
default,17,17,50.53,50.28,0.01,27292
default,17,18,50.55,50.29,0.0,27332
default,17,19,46.88,46.65,0.01,27228
