defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,,0,56.63,55.92,0.04,32364
default,,1,55.97,55.71,0.03,32360
default,,2,55.9,55.64,0.03,32364
default,,3,55.89,55.63,0.02,32360
default,,4,56.04,55.77,0.03,32364
default,,5,56.23,55.92,0.03,32348
default,,6,55.92,55.64,0.03,32352
default,,7,56.01,55.76,0.02,32352
default,,8,55.97,55.71,0.03,32352
default,,9,55.87,55.61,0.03,32352
default,,10,55.95,55.68,0.03,32352
default,,11,56.42,55.78,0.02,32352
default,,12,55.91,55.64,0.04,32356
default,,13,56.08,55.8,0.03,32356
default,,14,55.95,55.69,0.03,32352
default,,15,55.95,55.69,0.03,32356
default,,16,55.88,55.62,0.02,32356
default,,17,55.92,55.66,0.03,32352
default,,18,55.92,55.66,0.03,32352
default,,19,55.97,55.71,0.03,32356
