defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,17,0,82.42,81.9,0.12,54320
default,17,1,82.65,82.16,0.1,54320
default,17,2,82.62,82.1,0.14,54320
default,17,3,82.59,82.11,0.1,54320
default,17,4,82.73,82.25,0.09,54320
default,17,5,82.52,82.02,0.11,54320
default,17,6,106.38,105.78,0.12,54320
default,17,7,82.99,82.1,0.11,54320
default,17,8,82.62,82.11,0.12,54320
default,17,9,82.28,81.79,0.11,54320
default,17,10,82.6,82.09,0.12,54320
default,17,11,82.36,81.87,0.1,54320
default,17,12,82.53999999999999,82.02,0.13,54320
default,17,13,82.42,81.92,0.11,54320
default,17,14,82.37,81.89,0.11,54320
default,17,15,82.77,81.83,0.11,54320
default,17,16,80.94,80.46,0.11,54444
default,17,17,82.35,81.85,0.12,57500
default,17,18,81.95,81.45,0.12,54320
default,17,19,82.41,81.9,0.12,54320
