event,value
L1-dcache-load-misses,105282018
L1-dcache-loads,25704173566
L1-dcache-prefetch-misses,0
L1-dcache-prefetches,0
L1-dcache-store-misses,28306544
L1-dcache-stores,3468080811
L1-icache-load-misses,125229815
L1-icache-loads,21315163554
LLC-load-misses,28156
LLC-loads,7934110
LLC-prefetch-misses,84016
LLC-prefetches,39831083
LLC-store-misses,9060
LLC-stores,17400128
branch-load-misses,455197982
branch-loads,501726998
dTLB-load-misses,170656
dTLB-loads,25704173725
dTLB-store-misses,24607
dTLB-stores,3468080933
iTLB-load-misses,14371
iTLB-loads,78632028177
node-load-misses,558
node-loads,44735
node-prefetch-misses,89
node-prefetches,44219
node-store-misses,0
node-stores,1063
