event,value
L1-dcache-load-misses,4210224075
L1-dcache-loads,46674370742
L1-dcache-prefetch-misses,0
L1-dcache-prefetches,0
L1-dcache-store-misses,660171379
L1-dcache-stores,7453900594
L1-icache-load-misses,370377
L1-icache-loads,59787390334
LLC-load-misses,286486485
LLC-loads,2816223826
LLC-prefetch-misses,4637181
LLC-prefetches,12021480
LLC-store-misses,39590761
LLC-stores,1930514996
branch-load-misses,8985751959
branch-loads,6807561440
dTLB-load-misses,688003380
dTLB-loads,46674370267
dTLB-store-misses,113784792
dTLB-stores,7453897225
iTLB-load-misses,165740
iTLB-loads,106779554899
node-load-misses,1592
node-loads,288580249
node-prefetch-misses,458
node-prefetches,5219948
node-store-misses,0
node-stores,41632656
