event,value
L1-dcache-load-misses:u,105812380
L1-dcache-loads:u,25704171933
L1-dcache-prefetch-misses:u,0
L1-dcache-prefetches:u,482948073
L1-dcache-store-misses:u,29232233
L1-dcache-stores:u,3468080574
L1-icache-load-misses:u,128970511
L1-icache-loads:u,21248378229
LLC-load-misses:u,28563
LLC-loads:u,7997911
LLC-prefetch-misses:u,76439
LLC-prefetches:u,39456709
LLC-store-misses:u,4842
LLC-stores:u,17698753
branch-load-misses:u,455910154
branch-loads:u,501724939
dTLB-load-misses:u,194077
dTLB-loads:u,25704172342
dTLB-store-misses:u,28411
dTLB-stores:u,3468080829
iTLB-load-misses:u,15974
iTLB-loads:u,78632020860
node-load-misses:u,527
node-loads:u,25763
node-prefetch-misses:u,336
node-prefetches:u,171198
node-store-misses:u,0
node-stores:u,535
