defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,17,0,11.56,11.44,0.02,18556
default,17,1,11.69,11.62,0.01,18760
default,17,2,11.72,11.65,0.01,18276
default,17,3,11.55,11.45,0.01,18348
default,17,4,11.71,11.63,0.01,18260
default,17,5,11.78,11.72,0.01,18416
default,17,6,11.5,11.43,0.0,18616
default,17,7,11.72,11.65,0.01,18628
default,17,8,11.74,11.68,0.01,18264
default,17,9,11.58,11.5,0.01,18548
default,17,10,11.79,11.72,0.0,18436
default,17,11,11.69,11.62,0.01,18348
default,17,12,11.84,11.77,0.01,18836
default,17,13,11.82,11.75,0.01,18824
default,17,14,11.63,11.56,0.01,18800
default,17,15,11.89,11.82,0.0,18492
default,17,16,11.88,11.81,0.01,18544
default,17,17,11.64,11.58,0.01,18556
default,17,18,11.67,11.6,0.01,18620
default,17,19,11.65,11.58,0.01,18504
