event,value
L1-dcache-load-misses:u,4336968643
L1-dcache-loads:u,46674372171
L1-dcache-prefetch-misses:u,0
L1-dcache-prefetches:u,531454343
L1-dcache-store-misses:u,660170191
L1-dcache-stores:u,7453900193
L1-icache-load-misses:u,322705
L1-icache-loads:u,59775116089
LLC-load-misses:u,291475937
LLC-loads:u,2812604663
LLC-prefetch-misses:u,5423502
LLC-prefetches:u,12225324
LLC-store-misses:u,36033181
LLC-stores:u,1930358724
branch-load-misses:u,8985551621
branch-loads:u,6807559106
dTLB-load-misses:u,1080270895
dTLB-loads:u,46674371474
dTLB-store-misses:u,264764446
dTLB-stores:u,7453900028
iTLB-load-misses:u,164298
iTLB-loads:u,106779547952
node-load-misses:u,642
node-loads:u,290530332
node-prefetch-misses:u,484
node-prefetches:u,5857652
node-store-misses:u,0
node-stores:u,39165136
