defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,17,0,58.3,57.97,0.02,27168
default,17,1,57.25,56.93,0.02,27300
default,17,2,45.6,45.34,0.03,27308
default,17,3,50.65,50.37,0.02,27260
default,17,4,50.35,50.07,0.02,27276
default,17,5,50.36,50.09,0.01,27272
default,17,6,50.53,50.24,0.02,27256
default,17,7,50.55,50.25,0.02,27292
default,17,8,50.51,50.24,0.01,27308
default,17,9,50.39,50.1,0.02,27316
default,17,10,50.83,50.55,0.02,27316
default,17,11,50.52,50.25,0.01,27304
default,17,12,50.53,50.25,0.02,27268
default,17,13,50.44,50.16,0.02,27296
default,17,14,50.69,50.41,0.02,27304
default,17,15,50.57,50.28,0.03,27304
default,17,16,50.9,50.61,0.01,27204
default,17,17,50.41,50.12,0.02,27312
default,17,18,50.38,50.09,0.03,27300
default,17,19,50.7,50.41,0.03,27276
