defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS=-O0,13,0,9.75,9.72,0.0,1444
CMAKE_C_FLAGS=-O1,13,0,6.14,6.11,0.0,1364
CMAKE_C_FLAGS=-O2,13,0,3.25,3.23,0.0,1440
CMAKE_C_FLAGS=-O3,13,0,3.38,3.36,0.0,1388
CMAKE_C_FLAGS=-Os,13,0,5.74,5.71,0.0,1372
CMAKE_C_FLAGS=-Ofast,13,0,3.36,3.34,0.0,1384
CMAKE_C_FLAGS=-O0,13,1,9.67,9.64,0.0,1360
CMAKE_C_FLAGS=-O1,13,1,6.12,6.11,0.0,1384
CMAKE_C_FLAGS=-O2,13,1,3.23,3.22,0.0,1404
CMAKE_C_FLAGS=-O3,13,1,3.37,3.36,0.0,1376
CMAKE_C_FLAGS=-Os,13,1,5.72,5.7,0.0,1436
CMAKE_C_FLAGS=-Ofast,13,1,3.34,3.33,0.0,1376
CMAKE_C_FLAGS=-O0,13,2,9.67,9.65,0.0,1440
CMAKE_C_FLAGS=-O1,13,2,6.14,6.12,0.0,1440
CMAKE_C_FLAGS=-O2,13,2,3.23,3.22,0.0,1356
CMAKE_C_FLAGS=-O3,13,2,3.37,3.36,0.0,1292
CMAKE_C_FLAGS=-Os,13,2,5.75,5.74,0.0,1352
CMAKE_C_FLAGS=-Ofast,13,2,3.34,3.33,0.0,1388
CMAKE_C_FLAGS=-O0,13,3,9.59,9.57,0.0,1352
CMAKE_C_FLAGS=-O1,13,3,6.13,6.11,0.0,1376
CMAKE_C_FLAGS=-O2,13,3,3.24,3.23,0.0,1364
CMAKE_C_FLAGS=-O3,13,3,3.37,3.36,0.0,1476
CMAKE_C_FLAGS=-Os,13,3,5.72,5.71,0.0,1364
CMAKE_C_FLAGS=-Ofast,13,3,3.34,3.33,0.0,1372
CMAKE_C_FLAGS=-O0,13,4,9.73,9.69,0.0,1348
CMAKE_C_FLAGS=-O1,13,4,6.14,6.12,0.0,1356
CMAKE_C_FLAGS=-O2,13,4,3.24,3.23,0.0,1356
CMAKE_C_FLAGS=-O3,13,4,3.37,3.36,0.0,1372
CMAKE_C_FLAGS=-Os,13,4,5.72,5.7,0.0,1376
CMAKE_C_FLAGS=-Ofast,13,4,3.35,3.33,0.0,1352
CMAKE_C_FLAGS=-O0,13,5,9.69,9.66,0.0,1384
CMAKE_C_FLAGS=-O1,13,5,6.13,6.12,0.0,1380
CMAKE_C_FLAGS=-O2,13,5,3.24,3.23,0.0,1288
CMAKE_C_FLAGS=-O3,13,5,3.37,3.36,0.0,1476
CMAKE_C_FLAGS=-Os,13,5,5.72,5.71,0.0,1356
CMAKE_C_FLAGS=-Ofast,13,5,3.36,3.35,0.0,1444
CMAKE_C_FLAGS=-O0,13,6,9.59,9.57,0.0,1356
CMAKE_C_FLAGS=-O1,13,6,6.13,6.11,0.0,1360
CMAKE_C_FLAGS=-O2,13,6,3.23,3.22,0.0,1472
CMAKE_C_FLAGS=-O3,13,6,3.38,3.36,0.0,1440
CMAKE_C_FLAGS=-Os,13,6,5.72,5.71,0.0,1408
CMAKE_C_FLAGS=-Ofast,13,6,3.34,3.33,0.0,1440
CMAKE_C_FLAGS=-O0,13,7,9.69,9.67,0.0,1468
CMAKE_C_FLAGS=-O1,13,7,6.13,6.11,0.0,1412
CMAKE_C_FLAGS=-O2,13,7,3.23,3.22,0.0,1412
CMAKE_C_FLAGS=-O3,13,7,3.37,3.36,0.0,1368
CMAKE_C_FLAGS=-Os,13,7,5.72,5.71,0.0,1384
CMAKE_C_FLAGS=-Ofast,13,7,3.34,3.33,0.0,1360
CMAKE_C_FLAGS=-O0,13,8,9.68,9.65,0.0,1440
CMAKE_C_FLAGS=-O1,13,8,6.12,6.11,0.0,1468
CMAKE_C_FLAGS=-O2,13,8,3.23,3.22,0.0,1356
CMAKE_C_FLAGS=-O3,13,8,3.39,3.37,0.0,1416
CMAKE_C_FLAGS=-Os,13,8,5.73,5.71,0.0,1348
CMAKE_C_FLAGS=-Ofast,13,8,3.34,3.33,0.0,1372
CMAKE_C_FLAGS=-O0,13,9,9.63,9.6,0.0,1472
CMAKE_C_FLAGS=-O1,13,9,6.12,6.11,0.0,1380
CMAKE_C_FLAGS=-O2,13,9,3.23,3.22,0.0,1412
CMAKE_C_FLAGS=-O3,13,9,3.38,3.37,0.0,1368
CMAKE_C_FLAGS=-Os,13,9,5.73,5.71,0.0,1384
CMAKE_C_FLAGS=-Ofast,13,9,3.34,3.33,0.0,1364
