defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS=-O0_M=400,,0,19.11,19.05,0.0,1908
CMAKE_C_FLAGS=-O2_M=400,,0,10.28,10.24,0.0,1904
CMAKE_C_FLAGS=-O1_M=400,,0,10.38,10.35,0.0,1844
CMAKE_C_FLAGS=-O3_M=400,,0,10.28,10.25,0.0,1900
CMAKE_C_FLAGS=-Os_M=400,,0,10.39,10.35,0.0,1908
CMAKE_C_FLAGS=-Ofast_S=400,,0,1.87,1.86,0.0,1960
CMAKE_C_FLAGS=-O0_M=400,,1,19.09,19.04,0.0,1920
CMAKE_C_FLAGS=-O2_M=400,,1,10.27,10.24,0.0,1916
CMAKE_C_FLAGS=-O1_M=400,,1,10.37,10.35,0.0,1820
CMAKE_C_FLAGS=-O3_M=400,,1,10.27,10.24,0.0,1860
CMAKE_C_FLAGS=-Os_M=400,,1,10.38,10.35,0.0,1824
CMAKE_C_FLAGS=-Ofast_S=400,,1,1.86,1.85,0.0,1884
CMAKE_C_FLAGS=-O0_M=400,,2,19.07,19.03,0.0,1896
CMAKE_C_FLAGS=-O2_M=400,,2,10.25,10.23,0.0,1792
CMAKE_C_FLAGS=-O1_M=400,,2,10.36,10.34,0.0,1860
CMAKE_C_FLAGS=-O3_M=400,,2,10.27,10.24,0.0,1884
CMAKE_C_FLAGS=-Os_M=400,,2,10.4,10.37,0.0,1844
CMAKE_C_FLAGS=-Ofast_S=400,,2,1.86,1.85,0.0,1944
CMAKE_C_FLAGS=-O0_M=400,,3,19.08,19.04,0.0,1888
CMAKE_C_FLAGS=-O2_M=400,,3,10.28,10.25,0.0,1888
CMAKE_C_FLAGS=-O1_M=400,,3,10.37,10.34,0.0,1888
CMAKE_C_FLAGS=-O3_M=400,,3,10.25,10.23,0.0,1884
CMAKE_C_FLAGS=-Os_M=400,,3,10.36,10.33,0.0,1820
CMAKE_C_FLAGS=-Ofast_S=400,,3,1.86,1.85,0.0,1956
CMAKE_C_FLAGS=-O0_M=400,,4,19.08,19.03,0.0,1904
CMAKE_C_FLAGS=-O2_M=400,,4,10.25,10.22,0.0,1888
CMAKE_C_FLAGS=-O1_M=400,,4,10.37,10.34,0.0,1904
CMAKE_C_FLAGS=-O3_M=400,,4,10.27,10.24,0.0,1956
CMAKE_C_FLAGS=-Os_M=400,,4,10.36,10.33,0.0,1888
CMAKE_C_FLAGS=-Ofast_S=400,,4,1.86,1.85,0.0,1840
CMAKE_C_FLAGS=-O0_M=400,,5,19.09,19.04,0.0,1892
CMAKE_C_FLAGS=-O2_M=400,,5,10.27,10.24,0.0,1820
CMAKE_C_FLAGS=-O1_M=400,,5,10.38,10.35,0.0,1936
CMAKE_C_FLAGS=-O3_M=400,,5,10.28,10.25,0.0,1888
CMAKE_C_FLAGS=-Os_M=400,,5,10.38,10.36,0.0,1948
CMAKE_C_FLAGS=-Ofast_S=400,,5,1.86,1.86,0.0,1884
CMAKE_C_FLAGS=-O0_M=400,,6,19.13,19.08,0.0,1912
CMAKE_C_FLAGS=-O2_M=400,,6,10.26,10.24,0.0,1788
CMAKE_C_FLAGS=-O1_M=400,,6,10.37,10.34,0.0,1884
CMAKE_C_FLAGS=-O3_M=400,,6,10.25,10.23,0.0,1904
CMAKE_C_FLAGS=-Os_M=400,,6,10.36,10.34,0.0,1844
CMAKE_C_FLAGS=-Ofast_S=400,,6,1.86,1.85,0.0,1840
CMAKE_C_FLAGS=-O0_M=400,,7,19.12,19.07,0.0,1896
CMAKE_C_FLAGS=-O2_M=400,,7,10.25,10.22,0.0,1908
CMAKE_C_FLAGS=-O1_M=400,,7,10.36,10.33,0.0,1908
CMAKE_C_FLAGS=-O3_M=400,,7,10.25,10.22,0.0,1884
CMAKE_C_FLAGS=-Os_M=400,,7,10.38,10.35,0.0,1848
CMAKE_C_FLAGS=-Ofast_S=400,,7,1.86,1.85,0.0,1912
CMAKE_C_FLAGS=-O0_M=400,,8,19.08,19.03,0.0,1896
CMAKE_C_FLAGS=-O2_M=400,,8,10.25,10.23,0.0,1892
CMAKE_C_FLAGS=-O1_M=400,,8,10.38,10.35,0.0,1912
CMAKE_C_FLAGS=-O3_M=400,,8,10.25,10.22,0.0,1908
CMAKE_C_FLAGS=-Os_M=400,,8,10.37,10.34,0.0,1920
CMAKE_C_FLAGS=-Ofast_S=400,,8,1.86,1.85,0.0,1884
CMAKE_C_FLAGS=-O0_M=400,,9,19.1,19.05,0.0,1888
CMAKE_C_FLAGS=-O2_M=400,,9,10.25,10.23,0.0,1916
CMAKE_C_FLAGS=-O1_M=400,,9,10.36,10.33,0.0,1788
CMAKE_C_FLAGS=-O3_M=400,,9,10.26,10.24,0.0,1920
CMAKE_C_FLAGS=-Os_M=400,,9,10.38,10.35,0.0,1908
CMAKE_C_FLAGS=-Ofast_S=400,,9,1.86,1.85,0.0,1884
