defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS=-O0,,0,11.54,11.49,0.0,4556
CMAKE_C_FLAGS=-O1,,0,3.13,3.1,0.0,4476
CMAKE_C_FLAGS=-O2,,0,3.24,3.21,0.0,4392
CMAKE_C_FLAGS=-O3,,0,3.04,3.02,0.0,4436
CMAKE_C_FLAGS=-Os,,0,3.03,3.0,0.0,4356
CMAKE_C_FLAGS=-Ofast,,0,3.03,3.0,0.0,4440
CMAKE_C_FLAGS=-O0,,1,11.66,11.6,0.0,4556
CMAKE_C_FLAGS=-O1,,1,3.12,3.1,0.0,4356
CMAKE_C_FLAGS=-O2,,1,3.25,3.23,0.0,4384
CMAKE_C_FLAGS=-O3,,1,3.03,3.01,0.0,4412
CMAKE_C_FLAGS=-Os,,1,3.02,3.0,0.0,4492
CMAKE_C_FLAGS=-Ofast,,1,3.03,3.01,0.0,4456
CMAKE_C_FLAGS=-O0,,2,11.46,11.41,0.0,4536
CMAKE_C_FLAGS=-O1,,2,3.11,3.1,0.0,4380
CMAKE_C_FLAGS=-O2,,2,3.25,3.23,0.0,4496
CMAKE_C_FLAGS=-O3,,2,3.03,3.01,0.0,4408
CMAKE_C_FLAGS=-Os,,2,3.02,3.0,0.0,4492
CMAKE_C_FLAGS=-Ofast,,2,3.03,3.0,0.0,4520
CMAKE_C_FLAGS=-O0,,3,11.58,11.54,0.0,4552
CMAKE_C_FLAGS=-O1,,3,3.12,3.1,0.0,4488
CMAKE_C_FLAGS=-O2,,3,3.23,3.22,0.0,4392
CMAKE_C_FLAGS=-O3,,3,3.02,3.01,0.0,4360
CMAKE_C_FLAGS=-Os,,3,3.01,2.99,0.0,4456
CMAKE_C_FLAGS=-Ofast,,3,3.01,3.0,0.0,4412
CMAKE_C_FLAGS=-O0,,4,11.61,11.56,0.0,4444
CMAKE_C_FLAGS=-O1,,4,3.11,3.1,0.0,4488
CMAKE_C_FLAGS=-O2,,4,3.24,3.23,0.0,4492
CMAKE_C_FLAGS=-O3,,4,3.02,3.01,0.0,4532
CMAKE_C_FLAGS=-Os,,4,3.02,3.0,0.0,4384
CMAKE_C_FLAGS=-Ofast,,4,3.02,3.0,0.0,4412
CMAKE_C_FLAGS=-O0,,5,11.67,11.61,0.0,4536
CMAKE_C_FLAGS=-O1,,5,3.12,3.1,0.0,4464
CMAKE_C_FLAGS=-O2,,5,3.26,3.23,0.0,4328
CMAKE_C_FLAGS=-O3,,5,3.04,3.02,0.0,4420
CMAKE_C_FLAGS=-Os,,5,3.01,2.99,0.0,4364
CMAKE_C_FLAGS=-Ofast,,5,3.02,3.0,0.0,4404
CMAKE_C_FLAGS=-O0,,6,11.63,11.58,0.0,4444
CMAKE_C_FLAGS=-O1,,6,3.12,3.1,0.0,4360
CMAKE_C_FLAGS=-O2,,6,3.24,3.22,0.0,4564
CMAKE_C_FLAGS=-O3,,6,3.04,3.01,0.0,4424
CMAKE_C_FLAGS=-Os,,6,3.02,3.01,0.0,4492
CMAKE_C_FLAGS=-Ofast,,6,3.02,3.0,0.0,4420
CMAKE_C_FLAGS=-O0,,7,11.47,11.42,0.0,4456
CMAKE_C_FLAGS=-O1,,7,3.11,3.1,0.0,4384
CMAKE_C_FLAGS=-O2,,7,3.23,3.22,0.0,4332
CMAKE_C_FLAGS=-O3,,7,3.02,3.01,0.0,4460
CMAKE_C_FLAGS=-Os,,7,3.01,3.0,0.0,4492
CMAKE_C_FLAGS=-Ofast,,7,3.02,3.01,0.0,4408
CMAKE_C_FLAGS=-O0,,8,11.64,11.59,0.0,4444
CMAKE_C_FLAGS=-O1,,8,3.11,3.1,0.0,4500
CMAKE_C_FLAGS=-O2,,8,3.23,3.21,0.0,4480
CMAKE_C_FLAGS=-O3,,8,3.09,3.08,0.0,4516
CMAKE_C_FLAGS=-Os,,8,3.01,2.99,0.0,4480
CMAKE_C_FLAGS=-Ofast,,8,3.01,3.0,0.0,4516
CMAKE_C_FLAGS=-O0,,9,11.52,11.47,0.0,4552
CMAKE_C_FLAGS=-O1,,9,3.12,3.1,0.0,4380
CMAKE_C_FLAGS=-O2,,9,3.23,3.22,0.0,4496
CMAKE_C_FLAGS=-O3,,9,3.02,3.01,0.0,4456
CMAKE_C_FLAGS=-Os,,9,3.02,3.0,0.0,4472
CMAKE_C_FLAGS=-Ofast,,9,3.01,2.99,0.0,4592
