defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,0,14.03,13.98,0.0,1504
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,0,3.73,3.7,0.0,1480
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,0,3.13,3.11,0.0,1488
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,0,3.2,3.18,0.0,1512
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,0,3.68,3.66,0.0,1492
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,0,3.19,3.18,0.0,1572
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,1,14.0,13.97,0.0,1520
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,1,3.74,3.71,0.0,1500
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,1,3.12,3.11,0.0,1600
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,1,3.19,3.18,0.0,1524
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,1,3.66,3.65,0.0,1504
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,1,3.19,3.18,0.0,1492
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,2,14.0,13.97,0.0,1492
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,2,3.69,3.69,0.0,1528
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,2,3.11,3.11,0.0,1420
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,2,3.19,3.18,0.0,1572
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,2,3.67,3.66,0.0,1492
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,2,3.19,3.18,0.0,1516
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,3,14.01,13.98,0.0,1516
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,3,3.7,3.69,0.0,1600
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,3,3.11,3.11,0.0,1540
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,3,3.19,3.18,0.0,1572
