defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS=-O0,15,0,9.85,9.8,0.0,7944
CMAKE_C_FLAGS=-O1,15,0,5.79,5.76,0.0,8080
CMAKE_C_FLAGS=-O2,15,0,4.94,4.91,0.0,7952
CMAKE_C_FLAGS=-O3,15,0,4.83,4.81,0.0,8068
CMAKE_C_FLAGS=-Os,15,0,6.27,6.24,0.0,8076
CMAKE_C_FLAGS=-Ofast,15,0,4.78,4.75,0.0,8084
CMAKE_C_FLAGS=-O0,15,1,9.83,9.78,0.0,8100
CMAKE_C_FLAGS=-O1,15,1,5.8,5.76,0.0,8088
CMAKE_C_FLAGS=-O2,15,1,4.96,4.92,0.0,8072
CMAKE_C_FLAGS=-O3,15,1,4.83,4.8,0.0,8036
CMAKE_C_FLAGS=-Os,15,1,6.27,6.24,0.0,7976
CMAKE_C_FLAGS=-Ofast,15,1,4.78,4.74,0.0,8048
CMAKE_C_FLAGS=-O0,15,2,9.82,9.78,0.0,8060
CMAKE_C_FLAGS=-O1,15,2,5.8,5.77,0.0,8084
CMAKE_C_FLAGS=-O2,15,2,4.98,4.95,0.0,8032
CMAKE_C_FLAGS=-O3,15,2,4.83,4.81,0.0,8100
CMAKE_C_FLAGS=-Os,15,2,6.28,6.25,0.0,8052
CMAKE_C_FLAGS=-Ofast,15,2,4.78,4.74,0.0,7980
CMAKE_C_FLAGS=-O0,15,3,9.82,9.77,0.0,8040
CMAKE_C_FLAGS=-O1,15,3,5.79,5.76,0.0,8072
CMAKE_C_FLAGS=-O2,15,3,4.93,4.9,0.0,8028
CMAKE_C_FLAGS=-O3,15,3,4.82,4.79,0.0,8080
CMAKE_C_FLAGS=-Os,15,3,6.27,6.24,0.0,8092
CMAKE_C_FLAGS=-Ofast,15,3,4.76,4.73,0.0,8044
CMAKE_C_FLAGS=-O0,15,4,9.85,9.81,0.0,8048
CMAKE_C_FLAGS=-O1,15,4,5.79,5.76,0.0,8068
CMAKE_C_FLAGS=-O2,15,4,4.94,4.91,0.0,8040
CMAKE_C_FLAGS=-O3,15,4,4.82,4.8,0.0,8032
CMAKE_C_FLAGS=-Os,15,4,6.3,6.27,0.0,8080
CMAKE_C_FLAGS=-Ofast,15,4,4.76,4.74,0.0,8052
CMAKE_C_FLAGS=-O0,15,5,9.83,9.78,0.0,8044
CMAKE_C_FLAGS=-O1,15,5,5.79,5.75,0.0,7936
CMAKE_C_FLAGS=-O2,15,5,4.94,4.91,0.0,8080
CMAKE_C_FLAGS=-O3,15,5,4.83,4.8,0.0,8040
CMAKE_C_FLAGS=-Os,15,5,6.29,6.26,0.0,8088
CMAKE_C_FLAGS=-Ofast,15,5,4.77,4.75,0.0,8032
CMAKE_C_FLAGS=-O0,15,6,9.83,9.78,0.0,8056
CMAKE_C_FLAGS=-O1,15,6,5.79,5.76,0.0,8036
CMAKE_C_FLAGS=-O2,15,6,4.93,4.9,0.0,8080
CMAKE_C_FLAGS=-O3,15,6,4.83,4.8,0.0,8040
CMAKE_C_FLAGS=-Os,15,6,6.31,6.27,0.0,8072
CMAKE_C_FLAGS=-Ofast,15,6,4.77,4.74,0.0,8040
CMAKE_C_FLAGS=-O0,15,7,9.87,9.82,0.0,7984
CMAKE_C_FLAGS=-O1,15,7,5.79,5.76,0.0,8036
CMAKE_C_FLAGS=-O2,15,7,4.93,4.91,0.0,8040
CMAKE_C_FLAGS=-O3,15,7,4.84,4.81,0.0,8096
CMAKE_C_FLAGS=-Os,15,7,6.28,6.26,0.0,8012
CMAKE_C_FLAGS=-Ofast,15,7,4.77,4.75,0.0,8036
CMAKE_C_FLAGS=-O0,15,8,9.83,9.78,0.0,8084
CMAKE_C_FLAGS=-O1,15,8,5.8,5.77,0.0,8076
CMAKE_C_FLAGS=-O2,15,8,4.93,4.91,0.0,8036
CMAKE_C_FLAGS=-O3,15,8,4.82,4.79,0.0,8032
CMAKE_C_FLAGS=-Os,15,8,6.26,6.23,0.0,8088
CMAKE_C_FLAGS=-Ofast,15,8,4.76,4.73,0.0,8068
CMAKE_C_FLAGS=-O0,15,9,9.82,9.77,0.0,8036
CMAKE_C_FLAGS=-O1,15,9,5.81,5.78,0.0,8092
CMAKE_C_FLAGS=-O2,15,9,4.95,4.9,0.0,7936
CMAKE_C_FLAGS=-O3,15,9,4.82,4.79,0.0,8080
CMAKE_C_FLAGS=-Os,15,9,6.29,6.26,0.0,8040
CMAKE_C_FLAGS=-Ofast,15,9,4.76,4.74,0.0,8044
