defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS__O2_S__1000_fgcse_after_reload__enabled,,0,2.02,1.99,0.0,24628
CMAKE_C_FLAGS__O2_S__1000_fipa_cp_clone__enabled,,0,2.04,2.01,0.0,24592
CMAKE_C_FLAGS__O2_S__1000_floop_interchange__enabled,,0,2.05,2.01,0.01,24492
CMAKE_C_FLAGS__O2_S__1000_floop_unroll_and_jam__enabled,,0,2.03,2.0,0.0,24508
CMAKE_C_FLAGS__O2_S__1000_fpeel_loops__enabled,,0,2.01,1.98,0.0,24588
CMAKE_C_FLAGS__O2_S__1000_fpredictive_commoning__enabled,,0,2.16,2.13,0.0,24616
CMAKE_C_FLAGS__O2_S__1000_fsplit_loops__enabled,,0,2.03,2.0,0.01,24608
CMAKE_C_FLAGS__O2_S__1000_fsplit_paths__enabled,,0,2.03,2.0,0.0,24456
CMAKE_C_FLAGS__O2_S__1000_ftree_loop_distribution__enabled,,0,2.02,1.99,0.01,24624
CMAKE_C_FLAGS__O2_S__1000_ftree_partial_pre__enabled,,0,2.19,2.15,0.0,24560
CMAKE_C_FLAGS__O2_S__1000_funroll_completely_grow_size__enabled,,0,2.03,2.0,0.0,24660
CMAKE_C_FLAGS__O2_S__1000_funswitch_loops__enabled,,0,2.01,1.98,0.0,24504
CMAKE_C_FLAGS__O2_S__1000_fvect_cost_model___dynamic,,0,2.0,1.98,0.0,24496
CMAKE_C_FLAGS__O2_S__1000_fversion_loops_for_strides__enabled,,0,2.02,1.99,0.0,24652
CMAKE_C_FLAGS__O2_S__1000_fgcse_after_reload__enabled,,1,2.0,1.98,0.0,24652
CMAKE_C_FLAGS__O2_S__1000_fipa_cp_clone__enabled,,1,2.01,1.99,0.0,24548
CMAKE_C_FLAGS__O2_S__1000_floop_interchange__enabled,,1,2.16,2.14,0.0,24660
CMAKE_C_FLAGS__O2_S__1000_floop_unroll_and_jam__enabled,,1,2.0,1.98,0.0,24512
CMAKE_C_FLAGS__O2_S__1000_fpeel_loops__enabled,,1,2.0,1.98,0.0,24660
CMAKE_C_FLAGS__O2_S__1000_fpredictive_commoning__enabled,,1,2.0,1.98,0.0,24580
CMAKE_C_FLAGS__O2_S__1000_fsplit_loops__enabled,,1,2.0,1.98,0.0,24664
CMAKE_C_FLAGS__O2_S__1000_fsplit_paths__enabled,,1,2.0,1.98,0.0,24612
CMAKE_C_FLAGS__O2_S__1000_ftree_loop_distribution__enabled,,1,2.01,2.0,0.0,24564
CMAKE_C_FLAGS__O2_S__1000_ftree_partial_pre__enabled,,1,2.0,1.98,0.0,24724
CMAKE_C_FLAGS__O2_S__1000_funroll_completely_grow_size__enabled,,1,2.02,2.0,0.0,24616
CMAKE_C_FLAGS__O2_S__1000_funswitch_loops__enabled,,1,2.02,2.01,0.0,24560
CMAKE_C_FLAGS__O2_S__1000_fvect_cost_model___dynamic,,1,2.0,1.98,0.0,24616
CMAKE_C_FLAGS__O2_S__1000_fversion_loops_for_strides__enabled,,1,2.0,1.98,0.0,24620
CMAKE_C_FLAGS__O2_S__1000_fgcse_after_reload__enabled,,2,2.01,1.99,0.0,24536
CMAKE_C_FLAGS__O2_S__1000_fipa_cp_clone__enabled,,2,2.16,2.13,0.0,24620
CMAKE_C_FLAGS__O2_S__1000_floop_interchange__enabled,,2,2.0,1.98,0.0,24544
CMAKE_C_FLAGS__O2_S__1000_floop_unroll_and_jam__enabled,,2,2.0,1.98,0.0,24656
CMAKE_C_FLAGS__O2_S__1000_fpeel_loops__enabled,,2,2.12,2.11,0.0,24628
CMAKE_C_FLAGS__O2_S__1000_fpredictive_commoning__enabled,,2,1.99,1.97,0.0,24656
CMAKE_C_FLAGS__O2_S__1000_fsplit_loops__enabled,,2,1.99,1.98,0.0,24632
CMAKE_C_FLAGS__O2_S__1000_fsplit_paths__enabled,,2,1.99,1.98,0.0,24496
CMAKE_C_FLAGS__O2_S__1000_ftree_loop_distribution__enabled,,2,2.0,1.99,0.0,24564
CMAKE_C_FLAGS__O2_S__1000_ftree_partial_pre__enabled,,2,2.0,1.98,0.0,24548
CMAKE_C_FLAGS__O2_S__1000_funroll_completely_grow_size__enabled,,2,2.0,1.98,0.0,24496
CMAKE_C_FLAGS__O2_S__1000_funswitch_loops__enabled,,2,2.0,1.98,0.0,24588
CMAKE_C_FLAGS__O2_S__1000_fvect_cost_model___dynamic,,2,2.02,2.0,0.0,24600
CMAKE_C_FLAGS__O2_S__1000_fversion_loops_for_strides__enabled,,2,2.1,2.09,0.0,24556
