defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
M_T=2048_N_T=1_K_T=1024,,0,13.34,13.19,0.02,99568
M_T=2048_N_T=1_K_T=1024,,1,13.34,13.19,0.02,99432
M_T=2048_N_T=1_K_T=1024,,2,13.36,13.21,0.02,99480
M_T=128_N_T=4_K_T=512,,0,11.53,11.43,0.02,99476
M_T=128_N_T=4_K_T=512,,1,11.51,11.43,0.03,99456
M_T=128_N_T=4_K_T=512,,2,11.52,11.44,0.02,99512
M_T=256_N_T=16_K_T=256,,0,11.58,11.49,0.02,99512
M_T=256_N_T=16_K_T=256,,1,11.57,11.5,0.02,99448
M_T=256_N_T=16_K_T=256,,2,11.57,11.49,0.03,99468
M_T=16_N_T=2_K_T=128,,0,12.3,12.22,0.02,99452
M_T=16_N_T=2_K_T=128,,1,12.31,12.23,0.03,99460
M_T=16_N_T=2_K_T=128,,2,12.31,12.22,0.03,99424
M_T=1024_N_T=512_K_T=1024,,0,11.54,11.44,0.03,99572
M_T=1024_N_T=512_K_T=1024,,1,11.53,11.46,0.02,99420
M_T=1024_N_T=512_K_T=1024,,2,11.52,11.44,0.03,99412
M_T=4_N_T=1_K_T=1024,,0,11.74,11.64,0.03,99504
M_T=4_N_T=1_K_T=1024,,1,11.72,11.64,0.03,99564
M_T=4_N_T=1_K_T=1024,,2,11.72,11.64,0.03,99412
M_T=1024_N_T=1_K_T=128,,0,24.97,24.77,0.02,99504
M_T=1024_N_T=1_K_T=128,,1,24.34,24.17,0.02,99464
M_T=1024_N_T=1_K_T=128,,2,23.85,23.67,0.02,99484
M_T=512_N_T=512_K_T=16,,0,15.24,15.15,0.02,99572
M_T=512_N_T=512_K_T=16,,1,15.26,15.19,0.02,99372
M_T=512_N_T=512_K_T=16,,2,15.22,15.13,0.03,99448
M_T=16_N_T=32_K_T=2,,0,28.77,28.65,0.02,99704
M_T=16_N_T=32_K_T=2,,1,28.64,28.53,0.02,99464
M_T=16_N_T=32_K_T=2,,2,28.72,28.6,0.02,99596
M_T=1_N_T=1_K_T=1024,,0,11.47,11.33,0.04,99256
M_T=1_N_T=1_K_T=1024,,1,11.45,11.32,0.04,99480
M_T=1_N_T=1_K_T=1024,,2,11.48,11.35,0.05,99452
M_T=1_N_T=256_K_T=8,,0,19.21,19.03,0.06,99288
M_T=1_N_T=256_K_T=8,,1,19.23,19.07,0.05,99428
M_T=1_N_T=256_K_T=8,,2,19.15,19.01,0.03,99612
M_T=128_N_T=4_K_T=512,,0,11.51,11.42,0.03,99464
M_T=128_N_T=4_K_T=512,,1,11.5,11.42,0.02,99572
M_T=128_N_T=4_K_T=512,,2,11.52,11.44,0.02,99572
M_T=1_N_T=4_K_T=512,,0,12.43,12.28,0.05,99616
M_T=1_N_T=4_K_T=512,,1,12.38,12.26,0.04,99432
M_T=1_N_T=4_K_T=512,,2,12.38,12.24,0.06,99472
M_T=128_N_T=128_K_T=64,,0,12.05,11.94,0.02,99432
M_T=128_N_T=128_K_T=64,,1,11.99,11.92,0.03,99460
M_T=128_N_T=128_K_T=64,,2,11.97,11.91,0.02,99460
M_T=8_N_T=64_K_T=4,,0,22.38,22.25,0.04,99476
M_T=8_N_T=64_K_T=4,,1,22.49,22.38,0.03,99472
M_T=8_N_T=64_K_T=4,,2,22.41,22.31,0.02,99476
M_T=64_N_T=1024_K_T=1,,0,65.29,65.02,0.05,99448
M_T=64_N_T=1024_K_T=1,,1,67.03,66.75,0.06,99428
M_T=64_N_T=1024_K_T=1,,2,66.92,66.64,0.07,99448
M_T=2_N_T=8_K_T=32,,0,10.78,10.67,0.03,99508
M_T=2_N_T=8_K_T=32,,1,10.77,10.68,0.03,99504
M_T=2_N_T=8_K_T=32,,2,10.75,10.65,0.04,99416
M_T=2_N_T=8_K_T=32,,0,10.75,10.65,0.04,99456
M_T=2_N_T=8_K_T=32,,1,10.78,10.68,0.04,99452
M_T=2_N_T=8_K_T=32,,2,10.78,10.66,0.05,99468
M_T=2_N_T=8_K_T=32,,0,10.78,10.66,0.05,99420
M_T=2_N_T=8_K_T=32,,1,10.79,10.66,0.05,99428
M_T=2_N_T=8_K_T=32,,2,10.79,10.67,0.05,99432
M_T=2_N_T=8_K_T=32,,0,10.79,10.68,0.04,99484
M_T=2_N_T=8_K_T=32,,1,10.8,10.68,0.04,99480
M_T=2_N_T=8_K_T=32,,2,10.82,10.7,0.04,99512
M_T=2_N_T=2048_K_T=32,,0,33.95,33.72,0.05,99576
M_T=2_N_T=2048_K_T=32,,1,33.99,33.78,0.05,99484
M_T=2_N_T=2048_K_T=32,,2,33.98,33.78,0.06,99476
M_T=2_N_T=8_K_T=32,,0,10.79,10.67,0.04,99472
M_T=2_N_T=8_K_T=32,,1,10.78,10.66,0.04,99428
M_T=2_N_T=8_K_T=32,,2,10.77,10.64,0.05,99488
M_T=2_N_T=8_K_T=2048,,0,12.01,11.87,0.04,99428
M_T=2_N_T=8_K_T=2048,,1,12.01,11.88,0.05,99484
M_T=2_N_T=8_K_T=2048,,2,11.98,11.85,0.05,99476
M_T=32_N_T=8_K_T=32,,0,10.37,10.28,0.02,99460
M_T=32_N_T=8_K_T=32,,1,10.39,10.31,0.02,99516
M_T=32_N_T=8_K_T=32,,2,10.36,10.28,0.03,99472
M_T=32_N_T=8_K_T=32,,0,10.39,10.3,0.03,99488
M_T=32_N_T=8_K_T=32,,1,10.38,10.3,0.03,99484
M_T=32_N_T=8_K_T=32,,2,10.36,10.29,0.03,99432
M_T=32_N_T=8_K_T=32,,0,10.36,10.29,0.03,99428
M_T=32_N_T=8_K_T=32,,1,10.36,10.29,0.02,99476
M_T=32_N_T=8_K_T=32,,2,10.53,10.44,0.03,99516
M_T=32_N_T=8_K_T=32,,0,10.36,10.3,0.02,99432
M_T=32_N_T=8_K_T=32,,1,10.35,10.28,0.03,99480
M_T=32_N_T=8_K_T=32,,2,10.36,10.28,0.03,99452
M_T=32_N_T=128_K_T=256,,0,11.85,11.76,0.03,99484
M_T=32_N_T=128_K_T=256,,1,11.82,11.75,0.03,99432
M_T=32_N_T=128_K_T=256,,2,11.83,11.76,0.03,99572
M_T=32_N_T=32_K_T=1,,0,29.32,29.19,0.02,99428
M_T=32_N_T=32_K_T=1,,1,29.47,29.33,0.02,99456
M_T=32_N_T=32_K_T=1,,2,29.31,29.2,0.02,99472
M_T=32_N_T=64_K_T=8,,0,17.79,17.69,0.02,99484
M_T=32_N_T=64_K_T=8,,1,17.81,17.72,0.03,99484
M_T=32_N_T=64_K_T=8,,2,17.77,17.7,0.02,99480
