defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
M_T=2048_N_T=1_K_T=1024,,0,7.75,7.71,0.01,99816
M_T=2048_N_T=1_K_T=1024,,1,7.89,7.85,0.01,99840
M_T=2048_N_T=1_K_T=1024,,2,7.83,7.7,0.0,99924
M_T=128_N_T=4_K_T=512,,0,3.82,3.79,0.01,99764
M_T=128_N_T=4_K_T=512,,1,3.78,3.76,0.0,99828
M_T=128_N_T=4_K_T=512,,2,3.8,3.74,0.01,99724
M_T=256_N_T=16_K_T=256,,0,3.81,3.78,0.01,99824
M_T=256_N_T=16_K_T=256,,1,3.76,3.74,0.01,99624
M_T=256_N_T=16_K_T=256,,2,3.78,3.75,0.0,99892
M_T=16_N_T=2_K_T=128,,0,4.21,4.19,0.0,99872
M_T=16_N_T=2_K_T=128,,1,4.25,4.23,0.0,99804
M_T=16_N_T=2_K_T=128,,2,4.26,4.19,0.01,99832
M_T=1024_N_T=512_K_T=1024,,0,3.72,3.69,0.01,99876
M_T=1024_N_T=512_K_T=1024,,1,3.72,3.69,0.0,99836
M_T=1024_N_T=512_K_T=1024,,2,3.75,3.7,0.0,99832
