defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
T=2,,0,10.03,9.98,0.0,99768
T=4,,0,6.22,6.19,0.0,99832
T=8,,0,6.36,6.32,0.01,99748
T=16,,0,4.98,4.96,0.0,99832
T=32,,0,4.24,4.21,0.01,99920
T=64,,0,4.16,4.14,0.0,99836
T=128,,0,4.05,4.02,0.01,99960
T=2048,,0,4.67,4.65,0.01,99764
T=2,,1,9.58,9.53,0.0,99716
T=4,,1,6.26,6.23,0.01,99828
T=8,,1,6.37,6.34,0.0,99896
T=16,,1,5.02,4.99,0.0,99880
T=32,,1,4.28,4.26,0.0,99704
T=64,,1,4.13,4.11,0.0,99860
T=128,,1,4.07,4.05,0.01,99896
T=2048,,1,4.71,4.68,0.01,99896
T=2,,2,9.83,9.78,0.01,99832
T=4,,2,6.23,6.19,0.01,99860
T=8,,2,6.47,6.43,0.0,99896
T=16,,2,5.02,4.99,0.01,99892
T=32,,2,4.22,4.2,0.0,99828
T=64,,2,4.13,4.1,0.01,99900
T=128,,2,4.1,4.07,0.01,99904
T=2048,,2,4.83,4.8,0.0,99908
T=2,,3,9.94,9.89,0.01,99764
T=4,,3,6.5,6.46,0.01,99776
T=8,,3,6.46,6.43,0.01,99760
T=16,,3,5.08,5.05,0.0,99676
T=32,,3,4.38,4.3,0.01,99784
T=64,,3,4.17,4.14,0.01,99900
T=128,,3,4.11,4.09,0.0,99876
T=2048,,3,4.99,4.95,0.01,99840
T=2,,4,9.73,9.64,0.01,99964
T=4,,4,6.32,6.29,0.01,99892
T=8,,4,6.53,6.49,0.01,99844
T=16,,4,5.11,5.08,0.01,99912
T=32,,4,4.31,4.28,0.0,99720
T=64,,4,4.19,4.16,0.0,99836
T=128,,4,4.1,4.07,0.0,99832
T=2048,,4,4.76,4.72,0.01,99900
