defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
W=8_H=8,,0,119.91,119.46,0.01,99692
W=16_H=16,,0,119.75,119.39,0.01,99756
W=32_H=32,,0,120.28,119.91,0.01,99708
W=64_H=64,,0,120.61,120.23,0.01,99880
W=128_H=128,,0,120.35,119.97,0.01,99828
W=64_H=16,,0,120.97,120.58,0.01,99568
W=16_H=64,,0,120.75,120.37,0.0,99828
W=1024_H=1,,0,122.23,121.82,0.01,99784
W=1_H=1024,,0,124.33,123.88,0.01,99664
W=2048_H=2028,,0,120.73,120.33,0.01,99608
W=8_H=8,,1,120.7,120.34,0.01,99872
W=16_H=16,,1,122.29,121.91,0.0,99860
W=32_H=32,,1,124.76,124.38,0.01,99688
W=64_H=64,,1,124.64,124.25,0.01,99616
W=128_H=128,,1,125.25,124.86,0.01,99712
W=64_H=16,,1,125.19,124.78,0.0,99632
W=16_H=64,,1,125.55,125.17,0.01,99712
W=1024_H=1,,1,126.15,125.76,0.01,99868
W=1_H=1024,,1,127.54,127.06,0.01,99812
W=2048_H=2028,,1,121.5,120.7,0.08,99756
W=8_H=8,,2,121.92,121.15,0.09,99572
W=16_H=16,,2,123.23,122.36,0.09,99892
W=32_H=32,,2,123.56,122.92,0.04,99888
W=64_H=64,,2,123.31,122.5,0.12,99808
W=128_H=128,,2,123.6,122.82,0.09,99720
W=64_H=16,,2,124.19,123.44,0.07,99568
W=16_H=64,,2,124.8,124.12,0.04,99660
W=1024_H=1,,2,125.9,125.19,0.07,99632
W=1_H=1024,,2,128.06,127.26,0.06,99600
W=2048_H=2028,,2,123.07,122.36,0.04,99596
W=8_H=8,,3,132.09,131.29,0.05,99764
W=16_H=16,,3,125.71,124.92,0.1,99652
W=32_H=32,,3,124.15,123.5,0.03,99872
W=64_H=64,,3,123.79,123.06,0.07,99492
W=128_H=128,,3,122.96,122.33,0.02,99792
W=64_H=16,,3,124.13,123.49,0.02,99592
W=16_H=64,,3,122.78,122.18,0.02,99728
W=1024_H=1,,3,124.17,123.5,0.05,99852
W=1_H=1024,,3,127.48,126.81,0.02,99772
W=2048_H=2028,,3,123.44,122.74,0.06,99764
W=8_H=8,,4,123.46,122.64,0.05,99748
W=16_H=16,,4,123.67,122.88,0.05,99876
W=32_H=32,,4,123.18,122.39,0.06,99640
W=64_H=64,,4,124.86,124.24,0.05,99684
W=128_H=128,,4,124.68,124.1,0.03,99768
W=64_H=16,,4,124.78,124.2,0.02,99572
W=16_H=64,,4,125.15,124.47,0.09,99816
W=1024_H=1,,4,125.74,125.13,0.03,99832
W=1_H=1024,,4,128.67,127.81,0.03,99636
W=2048_H=2028,,4,124.73,124.13,0.03,99764
