size_kb,latency_ns
1,3.0015644999999997
2,2.9776559999999996
4,2.9829654999999997
8,2.9817090000000004
16,2.9899665
24,3.0215915
28,3.0403415000000003
32,3.0508360000000003
36,3.3377144999999997
40,3.5870655
48,3.876668
64,4.24118
128,4.7508335
192,5.5166284999999995
224,6.172478
256,7.3022635000000005
288,8.016383
320,8.9407275
384,10.513838
512,12.8364305
1024,16.137241500000002
2048,17.6213385
4096,17.349248
8192,17.725225000000002
10240,18.5782155
11264,20.137921
12288,21.331502
13312,24.388889
14336,27.795591
16384,33.940364
32768,54.128712500000006
65536,63.1750275
131072,70.2413295
262144,73.74622550000001
524288,78.19481400000001False
1048576,76.544443
