size_kb,latency_ns
1,1.9320145
2,2.01993
4,1.9152135000000001
8,1.9853765
16,2.052111
24,1.902047
28,2.0496315000000003
32,2.0905175
36,2.4493185
40,2.6558645
48,2.9201485
64,3.1702125
128,3.5683844999999996
256,4.0515345
384,4.674118
448,5.0265305
512,5.4197325
640,6.297029
768,6.785259
1024,7.69472
2048,8.075899499999998
4096,8.636185000000001
8192,8.8300545
12288,8.974515499999999
14336,8.954122
16384,13.872342
18432,21.365308
20480,29.0074175
32768,55.3897075
65536,76.5822775
131072,84.538274
262144,89.90780649999999
524288,92.549279
1048576,93.5588165
