size_kb,latency_ns
512,3.186869
1024,3.070454
2048,3.037712
4096,3.015157
8192,3.049718
16384,3.046171
24576,3.00776
28672,3.030332
31130,3.034757
32768,3.038167
34406,3.180098
36864,3.332429
40960,3.546011
65536,4.190088
131072,4.662604
196608,5.108685
229376,5.501858
249037,5.574
262144,6.29139
275251,6.778391
294912,7.6708
327680,8.298889
524288,12.682438
1048576,15.903356
2097152,17.438563
4194304,17.211098
8388608,17.144642
9437184,16.928586
10485760,17.572679
11534336,18.294863
12288000,19.816901
12582912,20.749195
12877824,20.425921
13631488,23.428118
15099494,28.315949
16777216,33.446195
33554432,53.850031
67108864,63.083498
134217728,69.903
268435456,73.568781
