wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
238.34,100.31,136.87,517264
238.73,99.38,138.31,517244
235.29,97.45,136.83,517328
235.6,97.68,136.9,517220
239.03,99.39,138.61,517328
239.15,100.02,138.1,517148
236.13,97.21,137.91,517204
238.31,99.77,137.51,517220
236.81,98.49,137.3,517252
239.89,99.1,139.76,517220
235.97,97.58,137.36,517192
235.39,97.68,136.69,517220
237.21,98.06,138.12,517144
238.98,99.31,138.66,517324
235.82,97.74,137.05,517252
238.61,99.97,137.6,517328
239.75,100.03,138.69,517224
