elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,37296860,2.0
10,8,0.01,361104,35749281,2.0
10,8,0.1,3455411,31098694,2.0
10,8,0.5,15812760,15812760,2.0
1000,8,0.0,0,2796800,2.0000009537
1000,8,0.01,28058,2777705,2.0000007153
1000,8,0.1,278751,2508756,2.0000004768
1000,8,0.5,1388486,1388486,2.0000009537
100000,8,0.0,0,40357,2.0000324249
100000,8,0.01,404,39920,2.0000154972
100000,8,0.1,4069,36616,2.0000815392
100000,8,0.5,19743,19742,2.0000758171
10000000,8,0.0,0,40374,2.0000500679
10000000,8,0.01,402,39758,2.0000634193
10000000,8,0.1,4069,36617,2.0000138283
10000000,8,0.5,19750,19749,2.0000126362
10,512,0.0,0,24687178,2.0
10,512,0.01,237376,23500182,2.0
10,512,0.1,2263657,20372904,2.0
10,512,0.5,10277927,10277926,2.0
1000,512,0.0,0,1246806,2.0000019073
1000,512,0.01,12248,1212503,2.0000023842
1000,512,0.1,122288,1100588,2.0000007153
1000,512,0.5,578393,578392,2.0000019073
100000,512,0.0,0,18940,2.0000915527
100000,512,0.01,190,18718,2.0001468658
100000,512,0.1,1869,16812,2.0000441074
100000,512,0.5,8123,8122,2.0000882149
10000000,512,0.0,0,18970,2.0001957417
10000000,512,0.01,190,18750,2.0002000332
10000000,512,0.1,1869,16820,2.0000238419
10000000,512,0.5,8123,8123,2.0001680851
10,8000000,0.0,0,2112,2.0010361671
10,8000000,0.01,21,2070,2.0012066364
10,8000000,0.1,202,1814,2.0016181469
10,8000000,0.5,841,840,2.0019276142
1000,8000000,0.0,0,2050,2.0004487038
1000,8000000,0.01,21,2024,2.0001513958
1000,8000000,0.1,188,1692,2.001793623
1000,8000000,0.5,705,704,2.0021348
10,8,0.0,0,37278632,2.0
10,8,0.01,356681,35311334,2.0
10,8,0.1,3480210,31321887,2.0
10,8,0.5,15140358,15140357,2.0
1000,8,0.0,0,2785630,2.0000004768
1000,8,0.01,28176,2789365,2.0000002384
1000,8,0.1,279642,2516772,2.0000002384
1000,8,0.5,1382319,1382318,2.0000007153
100000,8,0.0,0,40330,2.000095129
100000,8,0.01,404,39965,2.0000891685
100000,8,0.1,4056,36500,2.000082016
100000,8,0.5,19764,19763,2.0000829697
10000000,8,0.0,0,40405,2.0000953674
10000000,8,0.01,402,39721,2.0000088215
10000000,8,0.1,4070,36626,2.0000274181
10000000,8,0.5,19770,19770,2.0000288486
10,512,0.0,0,25006646,2.0
10,512,0.01,232510,23018418,2.0
10,512,0.1,2245540,20209854,2.0000002384
10,512,0.5,10592514,10592514,2.0
1000,512,0.0,0,1251663,2.0000007153
1000,512,0.01,12238,1211476,2.0000026226
1000,512,0.1,122477,1102289,2.0000007153
1000,512,0.5,592302,592301,2.0000004768
100000,512,0.0,0,18954,2.0000727177
100000,512,0.01,190,18755,2.0000967979
100000,512,0.1,1870,16825,2.0001890659
100000,512,0.5,8141,8140,2.0002336502
10000000,512,0.0,0,18978,2.0001716614
10000000,512,0.01,190,18759,2.0000975132
10000000,512,0.1,1869,16820,2.0001401901
10000000,512,0.5,8128,8127,2.0002260208
10,8000000,0.0,0,2076,2.0011827946
10,8000000,0.01,22,2080,2.0012068748
10,8000000,0.1,202,1810,2.0015890598
10,8000000,0.5,843,842,2.0008780956
1000,8000000,0.0,0,2054,2.0007195473
1000,8000000,0.01,21,2002,2.0007133484
1000,8000000,0.1,190,1706,2.0001373291
1000,8000000,0.5,709,708,2.0005631447
10,8,0.0,0,37594925,2.0
10,8,0.01,360226,35662278,2.0
10,8,0.1,3367851,30310654,2.0
10,8,0.5,15955134,15955133,2.0
1000,8,0.0,0,2807552,2.0000004768
1000,8,0.01,27959,2767939,2.0000004768
1000,8,0.1,278855,2509686,2.0
1000,8,0.5,1391821,1391820,2.0
100000,8,0.0,0,40338,2.000017643
100000,8,0.01,404,39937,2.0000677109
100000,8,0.1,4064,36575,2.0000317097
100000,8,0.5,19774,19774,2.0000309944
10000000,8,0.0,0,40399,2.0000624657
10000000,8,0.01,402,39727,2.0000572205
10000000,8,0.1,4065,36581,2.0000002384
10000000,8,0.5,19806,19806,2.0000042915
10,512,0.0,0,25000410,2.0
10,512,0.01,238527,23614168,2.0
10,512,0.1,2301385,20712460,2.0
10,512,0.5,10372145,10372144,2.0
1000,512,0.0,0,1247758,2.0000021458
1000,512,0.01,12129,1200723,2.0000016689
1000,512,0.1,122354,1101179,2.0000011921
1000,512,0.5,589963,589963,2.0000011921
100000,512,0.0,0,18996,2.0000584126
100000,512,0.01,190,18765,2.0000474453
100000,512,0.1,1869,16820,2.0001630783
100000,512,0.5,8144,8143,2.0002131462
10000000,512,0.0,0,18961,2.0000345707
10000000,512,0.01,190,18752,2.0000755787
10000000,512,0.1,1868,16805,2.0001423359
10000000,512,0.5,8137,8136,2.0000860691
10,8000000,0.0,0,2092,2.0000524521
10,8000000,0.01,21,2068,2.0011079311
10,8000000,0.1,202,1814,2.0013854504
10,8000000,0.5,847,846,2.0024659634
1000,8000000,0.0,0,2054,2.0012290478
1000,8000000,0.01,21,2030,2.001509428
1000,8000000,0.1,188,1692,2.000777483
1000,8000000,0.5,695,694,2.0024046898
