elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,38140043,2.0
10,8,0.01,355593,35203666,2.0
10,8,0.1,3452851,31075650,2.0
10,8,0.5,15909275,15909275,2.0
1000,8,0.0,0,2757836,2.0000009537
1000,8,0.01,27029,2675799,2.0000004768
1000,8,0.1,271183,2440646,2.0000009537
1000,8,0.5,1354493,1354493,2.0000002384
100000,8,0.0,0,15288,2.0001981258
100000,8,0.01,153,15143,2.000074625
100000,8,0.1,1529,13761,2.0002276897
100000,8,0.5,7647,7646,2.0002110004
10000000,8,0.0,0,10987,2.000222683
10000000,8,0.01,110,10846,2.0001416206
10000000,8,0.1,1099,9888,2.0000431538
10000000,8,0.5,5498,5498,2.0003316402
10,512,0.0,0,24961972,2.0
10,512,0.01,238104,23572222,2.0
10,512,0.1,2247245,20225198,2.0
10,512,0.5,10529004,10529004,2.0
1000,512,0.0,0,908830,2.0000021458
1000,512,0.01,9370,927544,2.0000033379
1000,512,0.1,93377,840390,2.0000030994
1000,512,0.5,465704,465703,2.0000004768
100000,512,0.0,0,12899,2.0000522137
100000,512,0.01,130,12792,2.0001995564
100000,512,0.1,1290,11603,2.0000476837
100000,512,0.5,6443,6443,2.0002098083
10000000,512,0.0,0,10274,2.0002412796
10000000,512,0.01,103,10175,2.0000441074
10000000,512,0.1,1021,9182,2.0002374649
10000000,512,0.5,5140,5140,2.0002942085
10,8000000,0.0,0,2114,2.0012886524
10,8000000,0.01,21,2066,2.0017843246
10,8000000,0.1,202,1810,2.0014407635
10,8000000,0.5,848,848,2.000235796
1000,8000000,0.0,0,2046,2.0013189316
1000,8000000,0.01,21,2000,2.0003330708
1000,8000000,0.1,187,1680,2.0011818409
1000,8000000,0.5,702,701,2.000068903
10,8,0.0,0,38070974,2.0
10,8,0.01,358882,35529244,2.0
10,8,0.1,3389566,30506088,2.0
10,8,0.5,15938200,15938200,2.0
1000,8,0.0,0,2740951,2.0000014305
1000,8,0.01,27369,2709523,2.0000011921
1000,8,0.1,272497,2452465,2.0000009537
1000,8,0.5,1352852,1352851,2.0000002384
100000,8,0.0,0,15285,2.0002465248
100000,8,0.01,154,15164,2.0002534389
100000,8,0.1,1530,13764,2.0002636909
100000,8,0.5,7644,7643,2.0000178814
10000000,8,0.0,0,10989,2.0003640652
10000000,8,0.01,110,10866,2.0001454353
10000000,8,0.1,1099,9887,2.0001471043
10000000,8,0.5,5493,5492,2.000316143
10,512,0.0,0,24658864,2.0
10,512,0.01,238356,23597206,2.0
10,512,0.1,2262033,20358294,2.0000002384
10,512,0.5,10460229,10460228,2.0
1000,512,0.0,0,924952,2.0000014305
1000,512,0.01,9380,928524,2.0000050068
1000,512,0.1,93695,843246,2.0000026226
1000,512,0.5,467410,467409,2.0000021458
100000,512,0.0,0,12936,2.0000188351
100000,512,0.01,128,12647,2.0002317429
100000,512,0.1,1289,11599,2.0001821518
100000,512,0.5,6484,6483,2.0000660419
10000000,512,0.0,0,10280,2.0002739429
10000000,512,0.01,103,10161,2.0003736019
10000000,512,0.1,1028,9246,2.0003738403
10000000,512,0.5,5142,5141,2.0003759861
10,8000000,0.0,0,2094,2.0017037392
10,8000000,0.01,21,2040,2.0014662743
10,8000000,0.1,202,1810,2.0016748905
10,8000000,0.5,845,844,2.0011651516
1000,8000000,0.0,0,2038,2.0016944408
1000,8000000,0.01,20,1976,2.0013980865
1000,8000000,0.1,188,1684,2.0015413761
1000,8000000,0.5,703,702,2.0024375916
10,8,0.0,0,37694747,2.0
10,8,0.01,360736,35712848,2.0
10,8,0.1,3328917,29960249,2.0
10,8,0.5,15614523,15614523,2.0
1000,8,0.0,0,2722641,2.0000002384
1000,8,0.01,27314,2704013,2.0
1000,8,0.1,273141,2458264,2.0
1000,8,0.5,1345408,1345407,2.0000004768
100000,8,0.0,0,15297,2.0001046658
100000,8,0.01,154,15156,2.0001106262
100000,8,0.1,1531,13777,2.0002510548
100000,8,0.5,7662,7661,2.0000908375
10000000,8,0.0,0,10988,2.0000712872
10000000,8,0.01,110,10850,2.00015378
10000000,8,0.1,1100,9893,2.0001695156
10000000,8,0.5,5497,5497,2.0003390312
10,512,0.0,0,24745558,2.0
10,512,0.01,237758,23537946,2.0
10,512,0.1,2298267,20684394,2.0
10,512,0.5,10568081,10568080,2.0
1000,512,0.0,0,925876,2.0000033379
1000,512,0.01,9387,929300,2.0000014305
1000,512,0.1,93390,840510,2.0000004768
1000,512,0.5,467265,467264,2.0000007153
100000,512,0.0,0,12955,2.0000081062
100000,512,0.01,129,12681,2.0002160072
100000,512,0.1,1286,11565,2.0003120899
100000,512,0.5,6417,6416,2.0003120899
10000000,512,0.0,0,10283,2.0002641678
10000000,512,0.01,103,10171,2.0003428459
10000000,512,0.1,1029,9261,2.0003609657
10000000,512,0.5,5141,5141,2.0002019405
10,8000000,0.0,0,2074,2.00010252
10,8000000,0.01,22,2090,2.0012550354
10,8000000,0.1,202,1814,2.0013403893
10,8000000,0.5,851,850,2.0016593933
1000,8000000,0.0,0,2050,2.0002770424
1000,8000000,0.01,21,2008,2.0018670559
1000,8000000,0.1,188,1686,2.001708746
1000,8000000,0.5,687,686,2.0028245449
