elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,43700684,2.0
10,8,0.01,406803,40273485,2.0
10,8,0.1,4046114,36415020,2.0
10,8,0.5,19251140,19251140,2.0
1000,8,0.0,0,44411940,2.0
1000,8,0.01,398623,39463636,2.0
1000,8,0.1,3295485,29659364,2.0
1000,8,0.5,9440522,9440521,2.0000002384
100000,8,0.0,0,43813375,2.0
100000,8,0.01,68692,6800469,2.0
100000,8,0.1,80794,727137,2.0000274181
100000,8,0.5,69577,69576,2.0000257492
10000000,8,0.0,0,43957094,2.0
10000000,8,0.01,210,20691,2.0072565079
10000000,8,0.1,213,1908,2.0027945042
10000000,8,0.5,210,209,2.0006299019
10,512,0.0,0,27103000,2.0
10,512,0.01,254133,25159116,2.0
10,512,0.1,2333361,21000248,2.0
10,512,0.5,8192047,8192047,2.0
1000,512,0.0,0,26040677,2.0
1000,512,0.01,88293,8740908,2.0000164509
1000,512,0.1,150711,1356390,2.0000002384
1000,512,0.5,161146,161145,2.0000097752
100000,512,0.0,0,21011852,2.0
100000,512,0.01,469,46332,2.0025868416
100000,512,0.1,356,3195,2.0009286404
100000,512,0.5,350,349,2.0017001629
10000000,512,0.0,0,20870810,2.0
10000000,512,0.01,3,198,2.0101625919
10000000,512,0.1,4,27,2.6479003429
10000000,512,0.5,4,3,2.6548421383
10,8000000,0.0,0,2094,2.0016076565
10,8000000,0.01,20,1888,2.0018615723
10,8000000,0.1,109,972,2.0181605816
10,8000000,0.5,185,184,2.0024545193
1000,8000000,0.0,0,2100,2.0002236366
1000,8000000,0.01,2,99,3.1886076927
1000,8000000,0.1,2,9,3.2474689484
1000,8000000,0.5,2,1,3.24792099
10,8,0.0,0,43969170,2.0
10,8,0.01,405843,40178429,2.0
10,8,0.1,4047864,36430771,2.0
10,8,0.5,19553010,19553009,2.0
1000,8,0.0,0,43997853,2.0
1000,8,0.01,398431,39444611,2.0
1000,8,0.1,3312985,29816856,2.0
1000,8,0.5,9453749,9453748,2.0000002384
100000,8,0.0,0,44420267,2.0
100000,8,0.01,69075,6838362,2.0
100000,8,0.1,80805,727236,2.0000464916
100000,8,0.5,69403,69402,2.0000090599
10000000,8,0.0,0,44160258,2.0
10000000,8,0.01,217,21384,2.0056810379
10000000,8,0.1,213,1908,2.0019965172
10000000,8,0.5,216,215,2.0033628941
10,512,0.0,0,27154312,2.0
10,512,0.01,253100,25056856,2.0
10,512,0.1,2336626,21029634,2.0
10,512,0.5,8235823,8235823,2.0
1000,512,0.0,0,26087700,2.0
1000,512,0.01,88793,8790408,2.0000107288
1000,512,0.1,150959,1358622,2.0000038147
1000,512,0.5,159249,159248,2.0000009537
100000,512,0.0,0,21157107,2.0
100000,512,0.01,493,48708,2.0008869171
100000,512,0.1,369,3312,2.0044515133
100000,512,0.5,362,361,2.0052909851
10000000,512,0.0,0,20965042,2.0
10000000,512,0.01,4,297,2.6377003193
10000000,512,0.1,4,27,2.6322927475
10000000,512,0.5,4,3,2.6356966496
10,8000000,0.0,0,2082,2.0011467934
10,8000000,0.01,20,1896,2.0004703999
10,8000000,0.1,109,972,2.0079193115
10,8000000,0.5,184,183,2.0000801086
1000,8000000,0.0,0,2112,2.0002214909
1000,8000000,0.01,2,99,3.1876635551
1000,8000000,0.1,2,9,3.2456407547
1000,8000000,0.5,2,1,3.2465693951
10,8,0.0,0,44431522,2.0
10,8,0.01,401225,39721201,2.0
10,8,0.1,4048553,36436970,2.0
10,8,0.5,18676119,18676118,2.0
1000,8,0.0,0,44380007,2.0
1000,8,0.01,399640,39564273,2.0
1000,8,0.1,3306905,29762136,2.0
1000,8,0.5,9470512,9470511,2.0
100000,8,0.0,0,44282264,2.0
100000,8,0.01,69107,6841494,2.0000152588
100000,8,0.1,80830,727461,2.0000090599
100000,8,0.5,69422,69421,2.0000066757
10000000,8,0.0,0,43560445,2.0
10000000,8,0.01,213,20988,2.0026221275
10000000,8,0.1,213,1908,2.0015027523
10000000,8,0.5,215,214,2.0090026855
10,512,0.0,0,27087950,2.0
10,512,0.01,253532,25099582,2.0
10,512,0.1,2338360,21045237,2.0
10,512,0.5,8259611,8259610,2.0000002384
1000,512,0.0,0,25916946,2.0
1000,512,0.01,87852,8697249,2.0000252724
1000,512,0.1,149368,1344303,2.0000016689
1000,512,0.5,160591,160590,2.000002861
100000,512,0.0,0,20918746,2.0
100000,512,0.01,466,46035,2.0007317066
100000,512,0.1,356,3195,2.0039942265
100000,512,0.5,349,348,2.0018489361
10000000,512,0.0,0,20837016,2.0
10000000,512,0.01,4,297,2.6439573765
10000000,512,0.1,4,27,2.6422383785
10000000,512,0.5,4,3,2.6428468227
10,8000000,0.0,0,2112,2.0004258156
10,8000000,0.01,20,1904,2.001231432
10,8000000,0.1,109,974,2.0002613068
10,8000000,0.5,184,183,2.0057733059
1000,8000000,0.0,0,2122,2.0018060207
1000,8000000,0.01,2,99,3.192637682
1000,8000000,0.1,2,9,3.2438657284
1000,8000000,0.5,2,1,3.2450902462
