elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,555120700,2.0000000000
10,8,0.01,2153020,213148980,2.0000007153
10,8,0.1,20589090,185301810,2.0000002384
10,8,0.5,100107600,100107600,2.0000002384
1000,8,0.0,0,4310400,2.0000307560
1000,8,0.01,42513,4208787,2.0000212193
1000,8,0.1,418250,3764250,2.0000364780
1000,8,0.5,2081350,2081350,2.0000150204
100000,8,0.0,0,63100,2.0057761669
100000,8,0.01,612,60588,2.0003356934
100000,8,0.1,6180,55620,2.0047838688
100000,8,0.5,31400,31400,2.0004310608
10000000,8,0.0,0,62800,2.0051939487
10000000,8,0.01,614,60786,2.0031716824
10000000,8,0.1,6250,56250,2.0054960251
10000000,8,0.5,31600,31600,2.0038909912
10,512,0.0,0,192347000,2.0000004768
10,512,0.01,1608090,159200910,2.0000007153
10,512,0.1,16805630,151250670,2.0000009537
10,512,0.5,73321800,73321800,2.0000009537
1000,512,0.0,0,3612400,2.0000052452
1000,512,0.01,31353,3103947,2.0000009537
1000,512,0.1,196570,1769130,2.0000185966
1000,512,0.5,729800,729800,2.0000224113
100000,512,0.0,0,45300,2.0080702305
100000,512,0.01,433,42867,2.0015296936
100000,512,0.1,3530,31770,2.0109884739
100000,512,0.5,10750,10750,2.0038130283
10000000,512,0.0,0,45400,2.0028579235
10000000,512,0.01,431,42669,2.0001192093
10000000,512,0.1,3250,29250,2.0128662586
10000000,512,0.5,10800,10800,2.0076947212
10,8,0.0,0,552820000,2.0000002384
10,8,0.01,2152067,213054633,2.0000004768
10,8,0.1,20517340,184656060,2.0000002384
10,8,0.5,99700800,99700800,2.0000007153
1000,8,0.0,0,4245400,2.0000064373
1000,8,0.01,42464,4203936,2.0000281334
1000,8,0.1,398390,3585510,2.0000805855
1000,8,0.5,2027350,2027350,2.0000600815
100000,8,0.0,0,62600,2.0034909248
100000,8,0.01,619,61281,2.0060200691
100000,8,0.1,6200,55800,2.0030655861
100000,8,0.5,31800,31800,2.0031359196
10000000,8,0.0,0,62100,2.0012726784
10000000,8,0.01,622,61578,2.0002048016
10000000,8,0.1,6210,55890,2.0037069321
10000000,8,0.5,31600,31600,2.0044741631
10,512,0.0,0,191174000,2.0000014305
10,512,0.01,1678390,166160610,2.0000002384
10,512,0.1,16720780,150487020,2.0000004768
10,512,0.5,76231900,76231900,2.0000002384
1000,512,0.0,0,3624500,2.0000429153
1000,512,0.01,31669,3135231,2.0000531673
1000,512,0.1,195580,1760220,2.0000457764
1000,512,0.5,724800,724800,2.0000176430
100000,512,0.0,0,45100,2.0079982281
100000,512,0.01,429,42471,2.0033340454
100000,512,0.1,3240,29160,2.0042769909
100000,512,0.5,10800,10800,2.0212500095
10000000,512,0.0,0,53400,2.0021178722
10000000,512,0.01,430,42570,2.0038709641
10000000,512,0.1,3270,29430,2.0081079006
10000000,512,0.5,10650,10650,2.0138022900
10,8,0.0,0,554386400,2.0000038147
10,8,0.01,2125980,210472020,2.0000007153
10,8,0.1,20563800,185074200,2.0000002384
10,8,0.5,99712800,99712800,2.0000007153
1000,8,0.0,0,4255700,2.0000221729
1000,8,0.01,41944,4152456,2.0000114441
1000,8,0.1,401670,3615030,2.0000407696
1000,8,0.5,2055900,2055900,2.0000579357
100000,8,0.0,0,62600,2.0057566166
100000,8,0.01,625,61875,2.0042862892
100000,8,0.1,6210,55890,2.0039718151
100000,8,0.5,31450,31450,2.0013055801
10000000,8,0.0,0,62400,2.0029110909
10000000,8,0.01,610,60390,2.0040800571
10000000,8,0.1,6210,55890,2.0007095337
10000000,8,0.5,31900,31900,2.0025622845
10,512,0.0,0,198306400,2.0000002384
10,512,0.01,1730942,171363258,2.0000009537
10,512,0.1,16395470,147559230,2.0000007153
10,512,0.5,78134100,78134100,2.0000007153
1000,512,0.0,0,3631900,2.0000469685
1000,512,0.01,32488,3216312,2.0000133514
1000,512,0.1,197980,1781820,2.0001447201
1000,512,0.5,732500,732500,2.0001451969
100000,512,0.0,0,45000,2.0009708405
100000,512,0.01,432,42768,2.0035705566
100000,512,0.1,3260,29340,2.0057392120
100000,512,0.5,10700,10700,2.0033144951
10000000,512,0.0,0,45200,2.0068264008
10000000,512,0.01,435,43065,2.0093572140
10000000,512,0.1,3250,29250,2.0108058453
10000000,512,0.5,10700,10700,2.0037147999
