elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,560409100,2.0000002384
10,8,0.01,2146013,212455287,2.0000009537
10,8,0.1,20657980,185921820,2.0000004768
10,8,0.5,100776900,100776900,2.0000002384
1000,8,0.0,0,4209300,2.0000147820
1000,8,0.01,42118,4169682,2.0000531673
1000,8,0.1,415190,3736710,2.0000643730
1000,8,0.5,2001400,2001400,2.0000600815
100000,8,0.0,0,20700,2.0186898708
100000,8,0.01,205,20295,2.0141406059
100000,8,0.1,2050,18450,2.0147395134
100000,8,0.5,10250,10250,2.0003032684
10000000,8,0.0,0,13800,2.0118081570
10000000,8,0.01,137,13563,2.0130910873
10000000,8,0.1,1370,12330,2.0163671970
10000000,8,0.5,6850,6850,2.0091402531
10,512,0.0,0,194104800,2.0000007153
10,512,0.01,1639744,162334656,2.0000009537
10,512,0.1,16309980,146789820,2.0000004768
10,512,0.5,74261200,74261200,2.0000004768
1000,512,0.0,0,1164900,2.0003340244
1000,512,0.01,11789,1167111,2.0002779961
1000,512,0.1,117080,1053720,2.0002644062
1000,512,0.5,587400,587400,2.0002579689
100000,512,0.0,0,15400,2.0079238415
100000,512,0.01,155,15345,2.0217425823
100000,512,0.1,1540,13860,2.0041949749
100000,512,0.5,7850,7850,2.0177919865
10000000,512,0.0,0,12300,2.0180087090
10000000,512,0.01,123,12177,2.0180661678
10000000,512,0.1,1220,10980,2.0069940090
10000000,512,0.5,6100,6100,2.0000104904
10,8,0.0,0,559466600,2.0000002384
10,8,0.01,2125276,210402324,2.0000004768
10,8,0.1,20520060,184680540,2.0000009537
10,8,0.5,99850900,99850900,2.0000004768
1000,8,0.0,0,4152700,2.0000393391
1000,8,0.01,40845,4043655,2.0000352859
1000,8,0.1,398450,3586050,2.0000102520
1000,8,0.5,1983300,1983300,2.0000495911
100000,8,0.0,0,20500,2.0088269711
100000,8,0.01,205,20295,2.0025713444
100000,8,0.1,2060,18540,2.0095119476
100000,8,0.5,10300,10300,2.0080146790
10000000,8,0.0,0,13600,2.0242760181
10000000,8,0.01,137,13563,2.0276827812
10000000,8,0.1,1370,12330,2.0117321014
10000000,8,0.5,6800,6800,2.0110995770
10,512,0.0,0,190976700,2.0000007153
10,512,0.01,1672557,165583143,2.0000009537
10,512,0.1,16705190,150346710,2.0000009537
10,512,0.5,76930500,76930500,2.0000002384
1000,512,0.0,0,1157500,2.0000736713
1000,512,0.01,11829,1171071,2.0002677441
1000,512,0.1,114760,1032840,2.0000846386
1000,512,0.5,576250,576250,2.0001125336
100000,512,0.0,0,15300,2.0200004578
100000,512,0.01,154,15246,2.0243165493
100000,512,0.1,1540,13860,2.0275933743
100000,512,0.5,7750,7750,2.0191233158
10000000,512,0.0,0,12300,2.0175592899
10000000,512,0.01,123,12177,2.0287489891
10000000,512,0.1,1230,11070,2.0161168575
10000000,512,0.5,6150,6150,2.0189082623
10,8,0.0,0,554139700,2.0000000000
10,8,0.01,2131339,211002561,2.0000000000
10,8,0.1,20380520,183424680,2.0000004768
10,8,0.5,99263950,99263950,2.0000004768
1000,8,0.0,0,4072000,2.0000717640
1000,8,0.01,40568,4016232,2.0000188351
1000,8,0.1,396800,3571200,2.0000140667
1000,8,0.5,1936500,1936500,2.0000889301
100000,8,0.0,0,20500,2.0082333088
100000,8,0.01,204,20196,2.0008347034
100000,8,0.1,2050,18450,2.0171825886
100000,8,0.5,10200,10200,2.0098769665
10000000,8,0.0,0,13700,2.0268383026
10000000,8,0.01,137,13563,2.0172579288
10000000,8,0.1,1370,12330,2.0006465912
10000000,8,0.5,6750,6750,2.0149586201
10,512,0.0,0,191448700,2.0000009537
10,512,0.01,1717989,170080911,2.0000000000
10,512,0.1,16821970,151397730,2.0000002384
10,512,0.5,76397750,76397750,2.0000002384
1000,512,0.0,0,1261200,2.0000011921
1000,512,0.01,11902,1178298,2.0000154972
1000,512,0.1,118300,1064700,2.0000863075
1000,512,0.5,588950,588950,2.0000517368
100000,512,0.0,0,15200,2.0087206364
100000,512,0.01,162,16038,2.0173077583
100000,512,0.1,1550,13950,2.0103340149
100000,512,0.5,7650,7650,2.0103437901
10000000,512,0.0,0,12300,2.0065045357
10000000,512,0.01,123,12177,2.0205757618
10000000,512,0.1,1230,11070,2.0319163799
10000000,512,0.5,6200,6200,2.0185656548
