elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,75860528,2.0
10,8,0.01,757060,74948846,2.0
10,8,0.1,7498773,67488953,2.0
10,8,0.5,35789222,35789222,2.0
1000,8,0.0,0,4492413,2.0
1000,8,0.01,45889,4543010,2.0000004768
1000,8,0.1,448594,4037337,2.000002861
1000,8,0.5,2290276,2290276,2.0000004768
100000,8,0.0,0,67331,2.0000095367
100000,8,0.01,567,56110,2.0000386238
100000,8,0.1,6592,59328,2.0000119209
100000,8,0.5,32521,32521,2.0000038147
10000000,8,0.0,0,61674,2.0001144409
10000000,8,0.01,657,64983,2.0000443459
10000000,8,0.1,6651,59851,2.000014782
10000000,8,0.5,33800,33799,2.0000314713
10,512,0.0,0,67200832,2.0
10,512,0.01,701852,69483270,2.0
10,512,0.1,6708767,60378899,2.0
10,512,0.5,31816682,31816682,2.0
1000,512,0.0,0,4213890,2.0
1000,512,0.01,35470,3511479,2.0000009537
1000,512,0.1,192478,1732297,2.0000009537
1000,512,0.5,746979,746978,2.0000014305
100000,512,0.0,0,48680,2.0000720024
100000,512,0.01,463,45799,2.0000669956
100000,512,0.1,3934,35401,2.0000138283
100000,512,0.5,11410,11409,2.0001182556
10000000,512,0.0,0,45782,2.0000660419
10000000,512,0.01,467,46218,2.0000450611
10000000,512,0.1,3889,35000,2.0000319481
10000000,512,0.5,11973,11972,2.0000350475
10,8000000,0.0,0,1178,2.0038633347
10,8000000,0.01,18,1774,2.0037035942
10,8000000,0.1,380,3420,2.0001425743
10,8000000,0.5,1423,1422,2.0015382767
1000,8000000,0.0,0,5252,2.0064861774
1000,8000000,0.01,65,6432,2.0004808903
1000,8000000,0.1,469,4216,2.0001444817
1000,8000000,0.5,2013,2012,2.0009286404
10,8,0.0,0,70460984,2.0
10,8,0.01,776484,76871898,2.0
10,8,0.1,7659888,68938990,2.0
10,8,0.5,37773153,37773152,2.0
1000,8,0.0,0,4772928,2.0
1000,8,0.01,43546,4310993,2.0000004768
1000,8,0.1,403372,3630345,2.0000004768
1000,8,0.5,2236446,2236446,2.0000004768
100000,8,0.0,0,64146,2.000030756
100000,8,0.01,610,60379,2.0001747608
100000,8,0.1,6578,59202,2.0000407696
100000,8,0.5,32522,32521,2.0000357628
10000000,8,0.0,0,66402,2.0000591278
10000000,8,0.01,662,65473,2.0000338554
10000000,8,0.1,6243,56181,2.0000040531
10000000,8,0.5,31652,31651,2.0000300407
10,512,0.0,0,63964608,2.0
10,512,0.01,673678,66694103,2.0
10,512,0.1,6832638,61493734,2.0
10,512,0.5,31784726,31784725,2.0
1000,512,0.0,0,4017994,2.0000004768
1000,512,0.01,34157,3381502,2.0000007153
1000,512,0.1,200400,1803594,2.0000011921
1000,512,0.5,763394,763393,2.0000016689
100000,512,0.0,0,46753,2.0000531673
100000,512,0.01,468,46328,2.000030756
100000,512,0.1,3744,33695,2.0001680851
100000,512,0.5,11854,11853,2.0001695156
10000000,512,0.0,0,62987,2.0000741482
10000000,512,0.01,471,46623,2.000082016
10000000,512,0.1,3689,33193,2.0000121593
10000000,512,0.5,12088,12088,2.0002281666
10,8000000,0.0,0,8476,2.000269413
10,8000000,0.01,71,7014,2.0000216961
10,8000000,0.1,620,5580,2.0031926632
10,8000000,0.5,2308,2308,2.0000426769
1000,8000000,0.0,0,7968,2.0001330376
1000,8000000,0.01,78,7630,2.0004599094
1000,8000000,0.1,613,5512,2.0005881786
1000,8000000,0.5,2150,2150,2.000014782
10,8,0.0,0,75320279,2.0
10,8,0.01,762902,75527282,2.0
10,8,0.1,7610546,68494911,2.0
10,8,0.5,37060771,37060770,2.0
1000,8,0.0,0,4657971,2.0000002384
1000,8,0.01,43366,4293150,2.0
1000,8,0.1,420283,3782539,2.0000007153
1000,8,0.5,2302768,2302768,2.0000002384
100000,8,0.0,0,65431,2.0000414848
100000,8,0.01,686,67836,2.0000452995
100000,8,0.1,6765,60876,2.0000431538
100000,8,0.5,32558,32557,2.0000510216
10000000,8,0.0,0,66945,2.0000283718
10000000,8,0.01,660,65315,2.0000319481
10000000,8,0.1,6449,58041,2.0000581741
10000000,8,0.5,32499,32499,2.0000531673
10,512,0.0,0,53774501,2.0
10,512,0.01,634814,62846518,2.0
10,512,0.1,5705508,51349567,2.0
10,512,0.5,32039097,32039096,2.0
1000,512,0.0,0,4137528,2.0000002384
1000,512,0.01,35758,3539962,2.0000007153
1000,512,0.1,192670,1734022,2.0000007153
1000,512,0.5,738400,738400,2.0000009537
100000,512,0.0,0,48918,2.0000677109
100000,512,0.01,463,45812,2.0000259876
100000,512,0.1,3875,34867,2.0000154972
100000,512,0.5,11650,11650,2.0001454353
10000000,512,0.0,0,49305,2.0000607967
10000000,512,0.01,466,46071,2.0000422001
10000000,512,0.1,3980,35819,2.0000810623
10000000,512,0.5,12020,12020,2.000125885
10,8000000,0.0,0,6772,2.0002813339
10,8000000,0.01,62,6072,2.0003175735
10,8000000,0.1,565,5076,2.0008220673
10,8000000,0.5,2165,2164,2.0007050037
1000,8000000,0.0,0,7806,2.0001177788
1000,8000000,0.01,75,7418,2.0001778603
1000,8000000,0.1,284,2554,2.0003118515
1000,8000000,0.5,2093,2092,2.000218153
