elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,72605350,2.0
10,8,0.01,674716,66796869,2.0
10,8,0.1,7332184,65989650,2.0
10,8,0.5,35323445,35323445,2.0
1000,8,0.0,0,4251724,2.0000004768
1000,8,0.01,42989,4255875,2.0000002384
1000,8,0.1,433539,3901842,2.0000002384
1000,8,0.5,2108732,2108732,2.0
100000,8,0.0,0,22858,2.0000967979
100000,8,0.01,228,22515,2.0001471043
100000,8,0.1,2281,20521,2.0001943111
100000,8,0.5,11216,11216,2.0001728535
10000000,8,0.0,0,14708,2.0001914501
10000000,8,0.01,154,15184,2.0000388622
10000000,8,0.1,1499,13486,2.000241518
10000000,8,0.5,7588,7588,2.0000531673
10,512,0.0,0,70461066,2.0
10,512,0.01,678710,67192279,2.0
10,512,0.1,6748364,60735276,2.0
10,512,0.5,31125194,31125193,2.0
1000,512,0.0,0,1233106,2.0000002384
1000,512,0.01,12419,1229478,2.0000011921
1000,512,0.1,124081,1116720,2.0000007153
1000,512,0.5,619946,619945,2.000002861
100000,512,0.0,0,17456,2.0002069473
100000,512,0.01,174,17213,2.0001833439
100000,512,0.1,1750,15750,2.0000431538
100000,512,0.5,8780,8779,2.0001671314
10000000,512,0.0,0,13010,2.0003538132
10000000,512,0.01,133,13074,2.0001430511
10000000,512,0.1,1308,11764,2.0001125336
10000000,512,0.5,6523,6523,2.0000603199
10,8000000,0.0,0,2440,2.0047957897
10,8000000,0.01,29,2796,2.0055580139
10,8000000,0.1,369,3312,2.004784584
10,8000000,0.5,1451,1450,2.0065720081
1000,8000000,0.0,0,8336,2.0005784035
1000,8000000,0.01,53,5200,2.0001685619
1000,8000000,0.1,435,3912,2.0001051426
1000,8000000,0.5,1647,1646,2.000333786
10,8,0.0,0,76861157,2.0
10,8,0.01,776169,76840693,2.0
10,8,0.1,7695566,69260089,2.0
10,8,0.5,37911010,37911010,2.0
1000,8,0.0,0,4214565,2.0000004768
1000,8,0.01,40188,3978537,2.0
1000,8,0.1,430077,3870688,2.0000007153
1000,8,0.5,2034892,2034891,2.0
100000,8,0.0,0,22761,2.0002112389
100000,8,0.01,226,22321,2.0002105236
100000,8,0.1,2292,20620,2.0000348091
100000,8,0.5,11368,11368,2.0001688004
10000000,8,0.0,0,14064,2.0000274181
10000000,8,0.01,148,14611,2.0001237392
10000000,8,0.1,1491,13418,2.0001966953
10000000,8,0.5,7515,7515,2.0001327991
10,512,0.0,0,67909612,2.0
10,512,0.01,696539,68957325,2.0
10,512,0.1,6612168,59509512,2.0
10,512,0.5,28215249,28215249,2.0
1000,512,0.0,0,1244737,2.0000026226
1000,512,0.01,12120,1199848,2.0
1000,512,0.1,124671,1122034,2.0000007153
1000,512,0.5,625956,625956,2.0000019073
100000,512,0.0,0,17230,2.0002274513
100000,512,0.01,177,17494,2.0000326633
100000,512,0.1,1709,15378,2.0000181198
100000,512,0.5,8818,8817,2.000038147
10000000,512,0.0,0,12917,2.0000126362
10000000,512,0.01,125,12293,2.0000841618
10000000,512,0.1,1310,11786,2.0001270771
10000000,512,0.5,6549,6548,2.0001978874
10,8000000,0.0,0,7746,2.0003988743
10,8000000,0.01,77,7534,2.0003049374
10,8000000,0.1,451,4050,2.0042111874
10,8000000,0.5,2240,2240,2.0003192425
1000,8000000,0.0,0,7688,2.0004377365
1000,8000000,0.01,77,7586,2.0004873276
1000,8000000,0.1,627,5640,2.0004634857
1000,8000000,0.5,2167,2166,2.0001046658
10,8,0.0,0,77311358,2.0
10,8,0.01,767438,75976362,2.0
10,8,0.1,7606982,68462833,2.0
10,8,0.5,37138168,37138168,2.0
1000,8,0.0,0,4233817,2.0000004768
1000,8,0.01,42747,4231872,2.0000004768
1000,8,0.1,425994,3833943,2.0000002384
1000,8,0.5,2123987,2123986,2.0000004768
100000,8,0.0,0,23294,2.0001657009
100000,8,0.01,246,24316,2.000084877
100000,8,0.1,2327,20934,2.0002026558
100000,8,0.5,11210,11209,2.0001735687
10000000,8,0.0,0,15104,2.0002374649
10000000,8,0.01,155,15277,2.0002057552
10000000,8,0.1,1539,13849,2.0000874996
10000000,8,0.5,7604,7604,2.0002954006
10,512,0.0,0,68400725,2.0
10,512,0.01,607083,60101197,2.0000052452
10,512,0.1,6002033,54018296,2.0
10,512,0.5,31326717,31326717,2.0
1000,512,0.0,0,1239571,2.0
1000,512,0.01,12200,1207777,2.0000004768
1000,512,0.1,123383,1110445,2.0000011921
1000,512,0.5,594586,594586,2.0000002384
100000,512,0.0,0,17711,2.0000548363
100000,512,0.01,173,17066,2.0002295971
100000,512,0.1,1760,15833,2.0002017021
100000,512,0.5,8657,8656,2.0000994205
10000000,512,0.0,0,12659,2.0002675056
10000000,512,0.01,133,13165,2.0002710819
10000000,512,0.1,1322,11895,2.0003304482
10000000,512,0.5,6618,6618,2.0002880096
10,8000000,0.0,0,7632,2.0002539158
10,8000000,0.01,60,5940,2.0047049522
10,8000000,0.1,552,4964,2.000549078
10,8000000,0.5,2132,2132,2.0002403259
1000,8000000,0.0,0,7670,2.0002162457
1000,8000000,0.01,56,5454,2.0040261745
1000,8000000,0.1,74,664,2.0063154697
1000,8000000,0.5,2012,2012,2.0003123283
