elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,61193016,2.0
10,8,0.01,712250,70512677,2.0
10,8,0.1,7621437,68592932,2.0
10,8,0.5,33997067,33997066,2.0
1000,8,0.0,0,77855765,2.0
1000,8,0.01,754715,74716745,2.0
1000,8,0.1,6727632,60548683,2.0
1000,8,0.5,22027146,22027145,2.0
100000,8,0.0,0,78114586,2.0
100000,8,0.01,272837,27010780,2.0
100000,8,0.1,482228,4340043,2.0000023842
100000,8,0.5,504460,504459,2.0000052452
10000000,8,0.0,0,75472669,2.0
10000000,8,0.01,501,49500,2.002584219
10000000,8,0.1,498,4473,2.0007579327
10000000,8,0.5,540,539,2.0000994205
10,512,0.0,0,70467222,2.0
10,512,0.01,720987,71377667,2.0
10,512,0.1,6692525,60232724,2.0
10,512,0.5,25695241,25695240,2.0
1000,512,0.0,0,65971355,2.0
1000,512,0.01,405519,40146365,2.0
1000,512,0.1,956207,8605854,2.0000021458
1000,512,0.5,1061695,1061694,2.0000002384
100000,512,0.0,0,21512464,2.0
100000,512,0.01,1323,130878,2.0013041496
100000,512,0.1,738,6633,2.0021593571
100000,512,0.5,698,697,2.0012972355
10000000,512,0.0,0,28653864,2.0000002384
10000000,512,0.01,7,594,2.1898946762
10000000,512,0.1,7,54,2.1318380833
10000000,512,0.5,7,6,2.1911754608
10,8000000,0.0,0,5116,2.0074980259
10,8000000,0.01,23,2272,2.0017340183
10,8000000,0.1,153,1368,2.006475687
10,8000000,0.5,290,290,2.0001311302
1000,8000000,0.0,0,5082,2.0018513203
1000,8000000,0.01,4,297,2.3322227001
1000,8000000,0.1,3,18,2.6483323574
1000,8000000,0.5,3,2,2.089120388
10,8,0.0,0,74761420,2.0
10,8,0.01,774865,76711563,2.0
10,8,0.1,7836880,70531920,2.0
10,8,0.5,38853019,38853018,2.0
1000,8,0.0,0,79115900,2.0
1000,8,0.01,743532,73609656,2.0
1000,8,0.1,6607701,59469300,2.0
1000,8,0.5,21309781,21309781,2.0
100000,8,0.0,0,70814704,2.0
100000,8,0.01,310752,30764354,2.0
100000,8,0.1,468124,4213107,2.0000004768
100000,8,0.5,473676,473675,2.0000007153
10000000,8,0.0,0,78097157,2.0
10000000,8,0.01,506,49995,2.0034270287
10000000,8,0.1,560,5031,2.0033731461
10000000,8,0.5,559,558,2.0009083748
10,512,0.0,0,69125984,2.0
10,512,0.01,701987,69496679,2.0
10,512,0.1,5918741,53268661,2.0
10,512,0.5,25356217,25356216,2.0
1000,512,0.0,0,61902368,2.0
1000,512,0.01,397344,39336988,2.0
1000,512,0.1,890025,8010216,2.0000014305
1000,512,0.5,1040855,1040854,2.0000002384
100000,512,0.0,0,26276248,2.0
100000,512,0.01,1369,135432,2.0010118484
100000,512,0.1,735,6606,2.0018959045
100000,512,0.5,721,720,2.0014879704
10000000,512,0.0,0,30686200,2.0000002384
10000000,512,0.01,7,594,2.1650948524
10000000,512,0.1,6,45,2.1577231884
10000000,512,0.5,7,6,2.2031490803
10,8000000,0.0,0,7680,2.0004000664
10,8000000,0.01,68,6728,2.000030756
10,8000000,0.1,297,2668,2.0006883144
10,8000000,0.5,433,432,2.0039606094
1000,8000000,0.0,0,8034,2.000649929
1000,8000000,0.01,4,297,2.2874472141
1000,8000000,0.1,4,27,2.5657074451
1000,8000000,0.5,4,3,2.5093979836
10,8,0.0,0,77640397,2.0
10,8,0.01,770590,76288367,2.0
10,8,0.1,7709960,69389638,2.0
10,8,0.5,38162483,38162483,2.0
1000,8,0.0,0,78352639,2.0
1000,8,0.01,707769,70069032,2.0
1000,8,0.1,6284716,56562435,2.0
1000,8,0.5,21041014,21041013,2.0
100000,8,0.0,0,74261001,2.0
100000,8,0.01,326290,32302611,2.0000009537
100000,8,0.1,530276,4772475,2.0000030994
100000,8,0.5,514158,514157,2.0000007153
10000000,8,0.0,0,75172135,2.0
10000000,8,0.01,521,51480,2.0036246777
10000000,8,0.1,558,5013,2.0024178028
10000000,8,0.5,514,513,2.0055816174
10,512,0.0,0,66826452,2.0
10,512,0.01,715507,70835098,2.0
10,512,0.1,5862776,52764983,2.0
10,512,0.5,23355971,23355970,2.0
1000,512,0.0,0,66781498,2.0
1000,512,0.01,407521,40344480,2.0000002384
1000,512,0.1,893604,8042427,2.0000002384
1000,512,0.5,1065744,1065743,2.0000016689
100000,512,0.0,0,30813910,2.0
100000,512,0.01,1316,130185,2.0011024475
100000,512,0.1,742,6669,2.0042390823
100000,512,0.5,718,717,2.0010499954
10000000,512,0.0,0,28692592,2.0
10000000,512,0.01,5,396,2.0631620884
10000000,512,0.1,7,54,2.1658303738
10000000,512,0.5,7,6,2.1682653427
10,8000000,0.0,0,8516,2.000169754
10,8000000,0.01,68,6654,2.0003783703
10,8000000,0.1,249,2232,2.0044887066
10,8000000,0.5,432,431,2.0032935143
1000,8000000,0.0,0,8160,2.0004239082
1000,8000000,0.01,4,297,2.2387025356
1000,8000000,0.1,1,0,2.0814914703
1000,8000000,0.5,4,3,2.5211920738
