elements,size,fraction,ins_del,reads_writes,elapsed
10,8,0.0,0,564337400,2.0000000000
10,8,0.01,2155828,213426972,2.0000004768
10,8,0.1,20619820,185578380,2.0000007153
10,8,0.5,99606450,99606450,2.0000004768
1000,8,0.0,0,560685400,2.0000000000
1000,8,0.01,2047321,202684779,2.0000004768
1000,8,0.1,15817130,142354170,2.0000000000
1000,8,0.5,40400950,40400950,2.0000011921
100000,8,0.0,0,560407700,2.0000002384
100000,8,0.01,312783,30965517,2.0000004768
100000,8,0.1,341100,3069900,2.0000727177
100000,8,0.5,350050,350050,2.0003867149
10000000,8,0.0,0,463569200,2.0000002384
10000000,8,0.01,360,35640,2.0035595894
10000000,8,0.1,360,3240,2.0530307293
10000000,8,0.5,350,350,2.1185953617
10,512,0.0,0,218018400,2.0000004768
10,512,0.01,1824618,180637182,2.0000007153
10,512,0.1,15353730,138183570,2.0000000000
10,512,0.5,44176250,44176250,2.0000011921
1000,512,0.0,0,195580600,2.0000002384
1000,512,0.01,496654,49168746,2.0000033379
1000,512,0.1,763610,6872490,2.0000212193
1000,512,0.5,815650,815650,2.0000166893
100000,512,0.0,0,48121400,2.0000023842
100000,512,0.01,1194,118206,2.0009150505
100000,512,0.1,610,5490,2.0175025463
100000,512,0.5,600,600,2.0545847416
10000000,512,0.0,0,49462400,2.0000023842
10000000,512,0.01,1,99,2.7466466427
10000000,512,0.1,10,90,5.2607660294
10000000,512,0.5,50,50,22.4972686768
10,8,0.0,0,560665400,2.0000000000
10,8,0.01,2141659,212024241,2.0000009537
10,8,0.1,20545840,184912560,2.0000002384
10,8,0.5,99034200,99034200,2.0000007153
1000,8,0.0,0,561463500,2.0000002384
1000,8,0.01,2066067,204540633,2.0000007153
1000,8,0.1,15473050,139257450,2.0000007153
1000,8,0.5,40002700,40002700,2.0000011921
100000,8,0.0,0,554347200,2.0000002384
100000,8,0.01,303338,30030462,2.0000040531
100000,8,0.1,352100,3168900,2.0000405312
100000,8,0.5,351000,351000,2.0003190041
10000000,8,0.0,0,463044000,2.0000002384
10000000,8,0.01,337,33363,2.0020854473
10000000,8,0.1,350,3150,2.0537238121
10000000,8,0.5,350,350,2.1132438183
10,512,0.0,0,183610000,2.0000009537
10,512,0.01,1825745,180748755,2.0000000000
10,512,0.1,15011930,135107370,2.0000007153
10,512,0.5,44243300,44243300,2.0000019073
1000,512,0.0,0,178744200,2.0000009537
1000,512,0.01,484804,47995596,2.0000047684
1000,512,0.1,751320,6761880,2.0000045300
1000,512,0.5,796800,796800,2.0000894070
100000,512,0.0,0,48848700,2.0000021458
100000,512,0.01,1229,121671,2.0019311905
100000,512,0.1,630,5670,2.0280334949
100000,512,0.5,600,600,2.0766429901
10000000,512,0.0,0,48796200,2.0000021458
10000000,512,0.01,3,297,2.0286686420
10000000,512,0.1,10,90,4.9326705933
10000000,512,0.5,50,50,22.0352573395
10,8,0.0,0,552874300,2.0000000000
10,8,0.01,2117955,209677545,2.0000000000
10,8,0.1,20359130,183232170,2.0000002384
10,8,0.5,100014950,100014950,2.0000007153
1000,8,0.0,0,557340000,2.0000002384
1000,8,0.01,2056225,203566275,2.0000004768
1000,8,0.1,15663220,140968980,2.0000011921
1000,8,0.5,39427800,39427800,2.0000021458
100000,8,0.0,0,465168000,2.0000002384
100000,8,0.01,296554,29358846,2.0000045300
100000,8,0.1,346340,3117060,2.0000004768
100000,8,0.5,350300,350300,2.0002772808
10000000,8,0.0,0,463796500,2.0000000000
10000000,8,0.01,330,32670,2.0010912418
10000000,8,0.1,360,3240,2.0199971199
10000000,8,0.5,400,400,2.1192641258
10,512,0.0,0,220228600,2.0000002384
10,512,0.01,1880878,186206922,2.0000007153
10,512,0.1,15279500,137515500,2.0000011921
10,512,0.5,44371550,44371550,2.0000009537
1000,512,0.0,0,186171600,2.0000009537
1000,512,0.01,495523,49056777,2.0000038147
1000,512,0.1,762920,6866280,2.0000176430
1000,512,0.5,804600,804600,2.0000674725
100000,512,0.0,0,49379400,2.0000028610
100000,512,0.01,1111,109989,2.0023012161
100000,512,0.1,630,5670,2.0149142742
100000,512,0.5,650,650,2.1297037601
10000000,512,0.0,0,50362000,2.0000009537
10000000,512,0.01,2,198,2.1808485985
10000000,512,0.1,10,90,4.9302940369
10000000,512,0.5,50,50,22.3081665039
